gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
SPRR2D	85.272692975007	5.5293566595726	0.708107253831178	7.80864287105703	5.78070416695269e-15	3.678262061432e-11	Up in AD
S100A7	188.008334872802	9.64234336584687	1.28770995802415	7.48797763484101	6.9942941608028e-14	2.22523468725941e-10	Up in AD
S100A8	172.737137701486	8.67488709580959	1.23737884362242	7.01069615059353	2.37135228024146e-12	5.02963818639213e-09	Up in AD
SERPINB3	78.7250790296747	4.62297684250067	0.663827670157593	6.96412194056805	3.30458287717749e-12	5.25676521187008e-09	Up in AD
CXCL14	53.4951872955904	-2.85525392874164	0.472567533830524	-6.04200188192704	1.52213689991363e-09	1.93707141883009e-06	Down in AD
CDHR1	27.2637297526401	-3.94754501241429	0.656820448512072	-6.0100823921619	1.85429064538421e-09	1.96647522942996e-06	Down in AD
LCE3D	48.7226997329208	6.90521118489315	1.21105151873875	5.70183107658754	1.18527256839597e-08	9.71964124566567e-06	Up in AD
S100A9	159.834100337123	10.3771350872202	1.82162847318579	5.69662543156891	1.22201995859383e-08	9.71964124566567e-06	Up in AD
SPRR2G	48.4329567527797	7.70252126494546	1.36940761875831	5.62471039260729	1.8581945390395e-08	1.31374353910093e-05	Up in AD
RAB31	22.3606757112734	7.56384226271699	1.37810253870687	5.48859177765863	4.05150745580572e-08	2.57797419412918e-05	Up in AD
CD24	85.8544573459752	2.59688446340424	0.477746761684648	5.43569244561075	5.45840358743095e-08	3.15743836607483e-05	Up in AD
PYDC1	46.882165687374	2.79558510863463	0.517774808084004	5.3992296747297	6.69276474881919e-08	3.54883850806138e-05	Up in AD
HAL	38.3648634243775	3.22147545788598	0.606270819494081	5.31359147480367	1.07485440494918e-07	4.88521327049404e-05	Up in AD
LMO4	27.3421936488063	-3.45131390068972	0.648700977315395	-5.32034638667071	1.03569867530608e-07	4.88521327049404e-05	Down in AD
APOE	62.9016531248705	-2.60903133748969	0.499465875173666	-5.22364282961777	1.75437025847274e-07	7.44203863644138e-05	Down in AD
CCND1	15.8697551618025	-4.58503352803455	0.885953117764027	-5.17525525459663	2.27599602910344e-07	8.09032779161818e-05	Down in AD
DNAJB4	16.2765648874476	-5.06550637466456	0.978989145899593	-5.1742211809814	2.28863586750161e-07	8.09032779161818e-05	Down in AD
