gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	direction
S100A7	5630.29481684349	8.36551703267571	0.794017717506269	10.535680562581	5.91538403706684e-26	8.95056758648584e-22	Up in AD
CD24	1086.18026274174	5.04219545238888	0.485199382000758	10.392007161256	2.69618540098085e-25	2.03979906511206e-21	Up in AD
SERPINB3	1185.52323446783	8.25067569325114	0.862837703642491	9.56225679339313	1.15216393459338e-21	5.81113083144417e-18	Up in AD
CYR61	4674.0581797635	-3.6557856418777	0.407466844830443	-8.97198309079347	2.91223128910893e-19	1.10162429088768e-15	Down in AD
SPRR1B	1949.88300910695	3.90768867253512	0.474101743870462	8.24229972375467	1.68931738330291e-16	5.11221226535126e-13	Up in AD
SPRR2D	500.607473740901	6.75641603532489	0.822218013418053	8.21730480853576	2.08127600015465e-16	5.24863119305668e-13	Up in AD
KRT6A	3132.20863062014	3.77788636977405	0.464308682175269	8.13658351611	4.06588406444157e-16	8.78869882558078e-13	Up in AD
C10orf99	805.188130527957	4.780189303199	0.62735728746167	7.61956447902275	2.54533042357993e-14	4.8141743298985e-11	Up in AD
EDN1	1058.88730998726	-3.25072603523502	0.428329482591631	-7.58931189038476	3.21608793014606e-14	5.40695849678222e-11	Down in AD
KRT6C	218.426394406709	4.30642906478748	0.574416222624538	7.49705334767737	6.52684204908391e-14	9.87576470446886e-11	Up in AD
BGN	831.645576218167	-3.75479655691859	0.504508402075905	-7.44248567807533	9.8808174460483e-14	1.24588873980131e-10	Down in AD
SERPINB13	793.54509648517	5.40334302620991	0.725263737382367	7.45017673944617	9.3215271226767e-14	1.24588873980131e-10	Up in AD
AP000438.2	444.809547227734	-5.51460229765372	0.760141749037523	-7.25470256650974	4.02545419958469e-13	4.68531903799353e-10	Down in AD
S100A8	7268.2317104384	5.71110425343911	0.790005647474109	7.22919421107844	4.85868195843933e-13	5.25119405093896e-10	Up in AD
ZNF667-AS1	330.919203602999	-3.95709203355873	0.558274598196954	-7.08807466135635	1.35990604461178e-12	1.37178255740139e-09	Down in AD
AGR3	810.717636573051	-5.5924533208699	0.794591094808315	-7.03815252575792	1.9480538432783e-12	1.84225016891525e-09	Down in AD
TMEM45B	393.294797860139	3.40601910402338	0.489301115655422	6.96098781516367	3.37895001425763e-12	3.00746427445484e-09	Up in AD
AKR1B10	340.48827982577	3.80308727621315	0.54746738224774	6.94669198482435	3.73950923457202e-12	3.14347301268385e-09	Up in AD
JMJD6	2162.64864038676	-2.94895938163565	0.435725625923171	-6.76792735196074	1.30640320241903e-11	1.04037825556854e-08	Down in AD
RASGRP1	402.631949006597	3.4396267653411	0.510455828386983	6.73834360205106	1.60202368899931e-11	1.21201102191243e-08	Up in AD
POU2F2	1159.6402668743	-4.7797129645266	0.717908753559774	-6.65782794934068	2.77903813456081e-11	2.0023631435257e-08	Down in AD
LAMA4	309.366075929502	3.37037806129304	0.513339170798604	6.56559688606993	5.18248432813651e-11	3.56437138041061e-08	Up in AD
SCD	425.651680235491	5.26001514942476	0.809398575903072	6.49867111954824	8.10325888797214e-11	5.33088740147419e-08	Up in AD
PDZK1IP1	1969.88536768584	2.95009151069884	0.459198522490901	6.42443598184115	1.32359348428776e-10	8.34470542114922e-08	Up in AD
KRT15	6389.02645605852	-2.585966527802	0.405251033889712	-6.38114726810484	1.75766176070489e-10	1.06380720404903e-07	Down in AD
IGFL4	96.2114885709952	5.36183282997812	0.846098239238642	6.33712798504691	2.34087537499242e-10	1.31842091028282e-07	Up in AD
S100A9	5908.21461506971	5.69314980756154	0.898489416538283	6.33635711536394	2.3526114980924e-10	1.31842091028282e-07	Up in AD
CACYBP	6942.59091215598	-2.58180737691763	0.409859643803057	-6.29924759842474	2.99093900684368e-10	1.46606672467034e-07	Down in AD
PRSS22	431.643341436009	3.15886935720157	0.500291278704913	6.3140604117242	2.71807753496314e-10	1.46606672467034e-07	Up in AD
STEAP4	472.819847125842	3.4272587018209	0.544131038627511	6.29859070430102	3.00363944648605e-10	1.46606672467034e-07	Up in AD
TRPS1	351.732502600684	3.22602403163069	0.511879813430392	6.30230758664091	2.93246474987297e-10	1.46606672467034e-07	Up in AD
CYP4F22	328.855436006625	3.41345370056904	0.544338242679853	6.27083205428325	3.59123810943695e-10	1.69809449480908e-07	Up in AD
NELL2	108.683960479707	9.81097791175737	1.58724233022486	6.18114683872339	6.36375888758647e-10	2.9178798705476e-07	Up in AD
CXCL1	223.72509068927	-4.07630200167351	0.660495926191739	-6.17157780998966	6.76118428166947e-10	3.00892586370414e-07	Down in AD
ADRB2	1839.19480820485	-3.13424443453388	0.515300880040538	-6.08235800856253	1.18427763020797e-09	5.11980137790766e-07	Down in AD
