gs_name	pval	padj	log2err	ES	NES	size	gene_set_collection	comparison	direction
REACTOME_INNATE_IMMUNE_SYSTEM	7.93806806889843e-07	0.00145663549064286	0.659444398037935	0.590428904682034	1.63514325611933	818	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Upregulated
REACTOME_NEUTROPHIL_DEGRANULATION	3.09703541761082e-06	0.00284152999565793	0.627256739718528	0.678861495437569	1.7734024397716	397	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Upregulated
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	2.93625710780332e-05	0.0134700794820477	0.575610261071129	-0.841359191659149	-1.74236151292685	50	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.83899787348963e-05	0.0134700794820477	0.575610261071129	-0.647844637346582	-1.66499396585396	285	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	6.8316872731322e-05	0.0231588724797257	0.538434096309916	-0.52598821497007	-1.44486950453745	696	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_MRNA_SPLICING	7.57238337211741e-05	0.0231588724797257	0.538434096309916	-0.662213294741737	-1.63960722520205	208	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.000173206356044231	0.0454048090487378	0.518848077743792	-0.480879047258923	-1.35838187669416	1184	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.000200140775265116	0.045907290326436	0.518848077743792	-0.818803566497803	-1.67670343658451	48	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_CO_INHIBITION_BY_PD_1	0.000407845116867208	0.0589852836116703	0.49849310876659	-0.671589688764643	-1.59119526191374	149	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_ESR_MEDIATED_SIGNALING	0.000299563206633964	0.0589852836116703	0.49849310876659	-0.672734293626327	-1.59516379535642	152	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS	0.000399717846638316	0.0589852836116703	0.49849310876659	0.989416075280411	1.52171033373445	6	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Upregulated
REACTOME_MRNA_3_END_PROCESSING	0.000374948982612992	0.0589852836116703	0.49849310876659	-0.678640349203695	-1.60579950012465	150	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_MRNA_POLYADENYLATION	0.000417879393434176	0.0589852836116703	0.49849310876659	-0.691521877796708	-1.60333748168684	126	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	0.000520519883872976	0.068225284779065	0.477270815362862	-0.707539019601227	-1.60118440823411	100	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_METABOLISM_OF_STEROIDS	0.000599915531174503	0.0733896666470142	0.477270815362862	0.743355405478711	1.75921226929256	124	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Upregulated
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.000670339941996324	0.0768796120977034	0.477270815362862	-0.589753062371699	-1.50622872604087	274	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	0.000944920435369061	0.101995823464837	0.477270815362862	-0.765265705787717	-1.60043920472757	57	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.00111006825397289	0.10974670431648	0.45505986738723	-0.821358507971453	-1.61227123924824	37	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_REGULATION_OF_PD_L1_CD274_EXPRESSION	0.00113634189755483	0.10974670431648	0.45505986738723	-0.669494113342046	-1.56675634889603	131	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.00135388813307236	0.118304034485132	0.45505986738723	0.863538360059886	1.76572592077167	42	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Upregulated
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	0.00134916629184192	0.118304034485132	0.45505986738723	-0.754910386928709	-1.60268754876615	64	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.00154918659514965	0.123598147917374	0.45505986738723	-0.704035024812914	-1.57581286247928	90	C2	deseq2_pseudobulk_DE_results_ADvsHealthy_AllKeratinocytes	Downregulated
