tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	DC	-2.46737045283251	0.120782915669876	-20.4281411750014	3.26779783842547e-82	5.42454441178629e-80
RFX5	DC	-2.29436792027057	0.125514054921129	-18.2797689207978	1.12876512164946e-67	9.36875050969051e-66
FOXL2	DC	-0.894091548218813	0.0700692956441979	-12.7601046934864	1.64813883799892e-35	9.11970157026071e-34
STAT6	DC	0.857967941206161	0.0832479350491697	10.3061768523076	3.98064143968254e-24	1.65196619746826e-22
ARNT	DC	0.671883883185734	0.0662502368902039	10.1416072564275	1.95144260085173e-23	6.47878943482774e-22
ATF4	DC	-0.575262607576375	0.0586715181488229	-9.8048018140113	4.71613264946136e-22	1.30479669968431e-20
NR5A1	DC	0.148712231512386	0.0161270917959051	9.22126775207828	9.4251504206828e-20	2.23510709976192e-18
POU2F2	DC	0.645331448564336	0.0729839122899182	8.8421054492235	2.52989350482984e-18	5.24952902252192e-17
GATA4	DC	-0.27585149514435	0.0321423954497061	-8.58216978806016	2.24975651796767e-17	4.14955091091814e-16
AHR	DC	-0.461448589392555	0.0538896768153298	-8.56283831454131	2.6406904576466e-17	4.38354615969336e-16
CEBPB	DC	-0.426558761924375	0.050834098811268	-8.3911935472302	1.08006877466645e-16	1.62992196904209e-15
SP1	DC	-0.44042561435265	0.0582229544597448	-7.56446694331114	6.68479735530828e-14	9.24730300817646e-13
FOS	DC	-0.359427846179145	0.0497034553720144	-7.23144585198238	7.52144534042023e-13	9.60430712699815e-12
NFIC	DC	-0.32401581243935	0.0455785047869436	-7.10896098838607	1.78743445256498e-12	2.11938656518419e-11
POU2F1	DC	-0.327472604769148	0.0464013253441843	-7.05739765707342	2.56305816130638e-12	2.83645103184573e-11
STAT3	DC	-0.38680335117567	0.0585908430609881	-6.60177138555662	5.58659148048859e-11	5.79608866100692e-10
ETS1	DC	0.403030348062146	0.0637117599498426	6.32583919168823	3.29910753815277e-10	3.22148147843152e-09
RFX1	DC	-0.331124759576747	0.0550122416681173	-6.01911046589204	2.19129185972536e-09	2.02085804841338e-08
HIF1A	DC	0.35720773685314	0.0604694655703986	5.90724150583535	4.27949951057137e-09	3.7389311513413e-08
