tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Fibroblasts	-2.55473627674909	0.0333359146496959	-76.6361536377523	0	0
SMAD3	Fibroblasts	1.09873176376119	0.0282906311856115	38.8373011741075	1.25290572654134e-311	1.03991175302931e-309
ATF2	Fibroblasts	-0.62747945013309	0.0224369101001285	-27.9663932035587	5.38624246832764e-167	2.98038749914129e-165
MEF2C	Fibroblasts	-0.538738945253143	0.0199579883976781	-26.9936495862389	4.93990741401002e-156	2.05006157681416e-154
POU2F1	Fibroblasts	-0.445306969267182	0.0168289362246997	-26.4607913014496	3.57145371319956e-150	1.18572263278225e-148
SMAD4	Fibroblasts	-0.566561688197645	0.0223108820873345	-25.3939618335068	9.32116674974264e-139	2.57885613409546e-137
ELK1	Fibroblasts	-0.635675379309011	0.0268077281611701	-23.712392765522	1.26906706371828e-121	3.00950189396049e-120
AHR	Fibroblasts	-0.40488899653032	0.0184792866683734	-21.9104234809709	1.87999141309161e-104	3.90098218216509e-103
SP1	Fibroblasts	-0.424548363979967	0.0193875556641801	-21.8979829811321	2.44548734284729e-104	4.51056554347388e-103
CREM	Fibroblasts	0.476891754705492	0.0219297785151078	21.7463096755379	5.9701426111482e-103	9.91043673450601e-102
FOXL2	Fibroblasts	-0.394936092769864	0.0187785039143191	-21.0312863352609	1.57540400583204e-96	2.37742786334653e-95
E2F4	Fibroblasts	-0.370903118183376	0.018701334234893	-19.8329762745668	3.24708502409692e-86	4.49180095000074e-85
MEF2A	Fibroblasts	-0.337601523043546	0.019302207418168	-17.4903064571663	1.08291405274472e-67	1.38279794427403e-66
KMT2A	Fibroblasts	-0.253720407606069	0.0146288831678862	-17.3437988870568	1.31855501830783e-66	1.56342952170785e-65
NR5A1	Fibroblasts	0.097554872808719	0.00570001543459219	17.1148436224715	6.29738685227098e-65	6.96910811651322e-64
RELB	Fibroblasts	0.343978609152451	0.020560841084036	16.7297927038367	3.76054708615648e-62	3.90156760188735e-61
FOXA1	Fibroblasts	-0.262210866644534	0.0157944122444364	-16.6014956800243	3.06841450435966e-61	2.99621651602179e-60
SPIB	Fibroblasts	-0.295943990837562	0.0183588290634162	-16.1199818253819	7.0627729818004e-58	6.51344619432703e-57
FLI1	Fibroblasts	-0.30405898104803	0.019621392442168	-15.496299864763	1.15759999376648e-53	1.01137683665914e-52
REL	Fibroblasts	-0.351710310539688	0.0227421798262906	-15.4651099070592	1.86278844093388e-53	1.54611440597512e-52
TP73	Fibroblasts	-0.205282042835144	0.0139680127956778	-14.6965818143197	1.71895897204923e-48	1.35879613981034e-47
RFX5	Fibroblasts	-0.273845631117113	0.0190533108817809	-14.3726007944882	1.80214051172898e-46	1.35979693157732e-45
MYC	Fibroblasts	-0.332232554739095	0.023449940306948	-14.1677356270565	3.24463774136857e-45	2.34178202203123e-44
CREB1	Fibroblasts	0.229525005612117	0.0162569494192041	14.1185778274602	6.45395957177721e-45	4.46398870381257e-44
ERG	Fibroblasts	-0.189054689259049	0.013856466157129	-13.6437881863394	4.39692269905104e-42	2.91955667216989e-41
FOXO4	Fibroblasts	0.298225586497253	0.022111940329503	13.4870835418881	3.61295634885413e-41	2.30673366888379e-40
ETV4	Fibroblasts	0.285732797617896	0.0215173866591775	13.2791589491666	5.70009889807149e-40	3.50450524844395e-39
EPAS1	Fibroblasts	0.216840176726637	0.0164158045334264	13.2092323763419	1.42812121913098e-39	8.4667186562765e-39
STAT5A	Fibroblasts	0.228460890901504	0.0182519006847515	12.5171013609761	9.85294127339744e-36	5.63995948753095e-35
AR	Fibroblasts	-0.25502697999302	0.0207613121568627	-12.2837602010006	1.74951626449517e-34	9.68065666353996e-34
VDR	Fibroblasts	-0.225197086027679	0.018922897231216	-11.900772026399	1.75545120035099e-32	9.40015804058915e-32
ETS1	Fibroblasts	0.223628967867461	0.0188690712267082	11.8516150148888	3.13945953163665e-32	1.62859463203651e-31
FOXM1	Fibroblasts	-0.191980495323433	0.0163617495066688	-11.7334943457718	1.25716665345058e-31	6.32392922644837e-31
TFAP2C	Fibroblasts	0.18928389750664	0.0161694852652205	11.7062413800999	1.72816422645909e-31	8.4375076938885e-31
GATA3	Fibroblasts	0.184117763469513	0.0160237789327125	11.4902835493841	2.09742857546104e-30	9.94780410075807e-30
TWIST1	Fibroblasts	-0.255601965735279	0.0225091251419722	-11.3554820155433	9.73902739556316e-30	4.49077374350968e-29
HNF1A	Fibroblasts	0.0842616670959562	0.00745181990819994	11.3075286485701	1.67454894771014e-29	7.51284122486171e-29
NFIC	Fibroblasts	-0.224184403425265	0.0202737089924051	-11.057888002104	2.71485851510312e-28	1.15555516283877e-27
ZEB1	Fibroblasts	0.158719961010382	0.0143516590274395	11.0593458712278	2.67151424097708e-28	1.15555516283877e-27
SOX9	Fibroblasts	0.172427251467498	0.015731753005634	10.9604601220059	7.92221568453134e-28	3.20753122837123e-27
