tf	cell_type	estimate	std_error	t_value	pval	padj
ARNT	Keratinocytes	0.634207952619426	0.0132348927078611	47.919387532528	0	0
AHR	Keratinocytes	-0.536029108822817	0.0108514175060762	-49.3971509733794	0	0
ATF2	Keratinocytes	-0.949245298646127	0.0129039343991126	-73.5624708934825	0	0
JUN	Keratinocytes	0.652215222091441	0.0111601601923659	58.4413853250591	0	0
STAT3	Keratinocytes	-0.578570614400253	0.0118634746921273	-48.7690688786313	0	0
GATA4	Keratinocytes	-0.594085200452397	0.0073133321066858	-81.2331768591897	0	0
FOS	Keratinocytes	-0.605416559982357	0.00998888617601102	-60.609015791601	0	0
ATF4	Keratinocytes	-0.847836732888394	0.0140825788389084	-60.2046501984373	0	0
NR5A1	Keratinocytes	0.168368717512919	0.0039178162631475	42.9751438567093	0	0
FOXO3	Keratinocytes	-0.656335042294862	0.0135052969664578	-48.5983421116141	0	0
ELK1	Keratinocytes	-1.46516688401527	0.0162243076354775	-90.3068973378814	0	0
CEBPA	Keratinocytes	0.488454030790413	0.00995891051092075	49.0469344266909	0	0
HIF1A	Keratinocytes	-0.473651691036694	0.0119775049372634	-39.5451050546519	0	0
TP73	Keratinocytes	-0.542201296592476	0.0123451717291561	-43.9201096985906	0	0
E2F4	Keratinocytes	-0.779756722429486	0.0188178882945038	-41.4369938978345	0	0
REL	Keratinocytes	-0.547029381548499	0.0128091391789828	-42.706178292298	0	0
CEBPB	Keratinocytes	0.507284553945884	0.00926407279292652	54.75826510487	0	0
SOX9	Keratinocytes	-0.320944264941777	0.00824840793489402	-38.9098438723012	0	0
MEF2A	Keratinocytes	-0.590275252984875	0.00957827802099347	-61.6264480620757	0	0
E2F1	Keratinocytes	-0.624634120359011	0.011493157132947	-54.3483494686063	0	0
POU2F1	Keratinocytes	-0.697868497493057	0.0099166542894889	-70.3733816991844	0	0
HSF1	Keratinocytes	-2.96831155296309	0.0199456027230039	-148.820348734793	0	0
NFIC	Keratinocytes	-0.420758380202154	0.0105760330957654	-39.7841398936833	0	0
ATF6	Keratinocytes	-0.790129774479931	0.0185179963871011	-42.6682108562406	0	0
CREM	Keratinocytes	0.627410006276908	0.0128210807335273	48.9358127693732	0	0
