tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	LEC	-1.66787347664861	0.0989117449930042	-16.8622389258887	2.83298820199672e-56	4.70276041531455e-54
MEF2A	LEC	-0.645569275862935	0.0627343077908368	-10.2905299922227	1.1514642930975e-23	9.55715363270925e-22
STAT4	LEC	0.710358302020505	0.0701738063364305	10.1228412581024	5.49687907860162e-23	3.0416064234929e-21
SMAD1	LEC	-0.838218194719144	0.0882446319600512	-9.49880095934458	1.54121214570906e-20	6.3960304046926e-19
MAZ	LEC	-0.398853390396034	0.0450830535719869	-8.84708019520373	4.05812787603891e-18	1.34729845484492e-16
MEF2C	LEC	-0.395172128092946	0.0513469830674747	-7.69611191320926	3.38485896460241e-14	8.39643340735639e-13
FOXA1	LEC	-0.381484482810949	0.0496077867272735	-7.69001215289484	3.54066468984908e-14	8.39643340735639e-13
PPARG	LEC	-0.444176023155874	0.0627373297555459	-7.07993191432586	2.73063524912723e-12	5.666068141939e-11
ZNF263	LEC	0.346478982437062	0.0506725562950066	6.83760614759444	1.40702311654778e-11	2.59517597052147e-10
SOX9	LEC	-0.288191888380136	0.0432003250323357	-6.67105833496445	4.21828955284614e-11	7.0023606577246e-10
SMAD4	LEC	-0.35308236730146	0.0539094838875761	-6.54954085699995	9.25892219013767e-11	1.39725553051169e-09
TBP	LEC	0.708640350737186	0.110213846973929	6.42968529085833	1.98577007005154e-10	2.74698193023797e-09
SNAI1	LEC	0.365390008934421	0.0572303317147784	6.38455165270461	2.63827813984476e-10	3.36887824010947e-09
AHR	LEC	-0.35363767030581	0.0565861027492976	-6.24954985630637	6.10727566822001e-10	7.24148400660373e-09
REL	LEC	-0.382745940791638	0.061461996772303	-6.22735935849252	7.00020071493348e-10	7.74688879119305e-09
EPAS1	LEC	0.375394889436901	0.0606692325197061	6.18756614920039	8.93140868178342e-10	9.2663365073503e-09
POU2F1	LEC	-0.290391407727735	0.0474656028589009	-6.11793362429146	1.36343988831202e-09	1.3313589497635e-08
ELK1	LEC	-0.464516796774858	0.0781882002363238	-5.94100894215312	3.91908904738538e-09	3.61427101036651e-08
HIC1	LEC	-0.284659162902271	0.0481923673511277	-5.90672711361646	4.79362460681086e-09	4.18811413016106e-08
FOXL2	LEC	-0.28488737029246	0.0521070367657658	-5.46734928668271	5.7833331571964e-08	4.80016652047302e-07
STAT5B	LEC	-0.258817308647707	0.0513996094350019	-5.03539446102209	5.66407326840162e-07	4.08798331545508e-06
POU2F2	LEC	0.212689928242761	0.04220117644943	5.03990519073868	5.5354579478793e-07	4.08798331545508e-06
GLI2	LEC	0.284142660500157	0.0562396314050409	5.05235637932522	5.19490100498513e-07	4.08798331545508e-06
NFIC	LEC	-0.283944277268531	0.0593870956882415	-4.78124538635674	2.00632594193624e-06	1.3877087765059e-05
