tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Macrophages	-3.16040322395981	0.125991507411082	-25.0842559859857	1.18644370370111e-110	1.96949654814385e-108
FOXL2	Macrophages	-1.0708688695993	0.0868502440922294	-12.3300617147616	7.42490472122302e-33	6.1626709186151e-31
ATF6	Macrophages	-1.24214195731722	0.112552509254632	-11.0361107499351	5.8383688223524e-27	3.23056408170166e-25
NR5A1	Macrophages	0.209018594620724	0.0190873326477267	10.9506445179294	1.37325271141453e-26	5.69899875237032e-25
FOS	Macrophages	-0.506007725990331	0.0576602581005536	-8.77567570210847	6.19408200560748e-18	1.87903435576267e-16
ATF4	Macrophages	-0.725482564139147	0.082774218161975	-8.76459579140333	6.79169044251567e-18	1.87903435576267e-16
REL	Macrophages	-0.700710027708624	0.0817516004725699	-8.57120868164205	3.33603213219946e-17	7.91116191350157e-16
SNAI1	Macrophages	-0.499969894317572	0.0609177975669997	-8.20728775966804	6.14154187614658e-16	1.27436993930042e-14
HIF1A	Macrophages	-0.544884000050451	0.0700485254296223	-7.77866481426359	1.65013265329851e-14	2.73922020447552e-13
ZNF263	Macrophages	0.349987254942972	0.0449719563661739	7.7823444480218	1.60520877454361e-14	2.73922020447552e-13
NFKB2	Macrophages	-0.449264908690007	0.0585526440259679	-7.67283725890773	3.6322160589615e-14	5.48134423443281e-13
STAT3	Macrophages	-0.531783351382676	0.0705466216776651	-7.53804135104371	9.7882346667693e-14	1.35403912890309e-12
SPI1	Macrophages	0.629080616586176	0.083950523836712	7.4934686269471	1.35395680309543e-13	1.72889868702955e-12
MITF	Macrophages	0.401933666839341	0.0552179093154871	7.27904536448303	6.29818890231295e-13	7.46785255559964e-12
SP1	Macrophages	-0.441758446588754	0.0609464098646536	-7.24830958164371	7.82568026969095e-13	8.66041949845798e-12
ESR2	Macrophages	0.566856137193667	0.0798198023856314	7.10169807806626	2.18047654713252e-12	2.26224441764999e-11
EPAS1	Macrophages	0.406155056814095	0.0597085545673418	6.8022925652306	1.66917734379385e-11	1.62990258276341e-10
VDR	Macrophages	-0.438799239942009	0.0648173685599227	-6.76977868264346	2.07240426190506e-11	1.91121726375689e-10
STAT1	Macrophages	0.430401900721252	0.0667699514257948	6.44604184263309	1.69982726988181e-10	1.48511224631779e-09
STAT6	Macrophages	0.475925539746046	0.0759516333275611	6.26616596503585	5.26069557531694e-10	4.36637732751306e-09
GATA4	Macrophages	-0.236067959789509	0.0386983147948174	-6.10021291731091	1.45466767162106e-09	1.1188267703598e-08
NR3C1	Macrophages	0.289456771092267	0.0474748803890203	6.09705108723584	1.48278246674191e-09	1.1188267703598e-08
ATF2	Macrophages	-0.469055080326233	0.0820978949011216	-5.713363063586	1.41717620824213e-08	1.02283152420954e-07
E2F1	Macrophages	-0.298386357604764	0.0545308797950931	-5.4718786626218	5.48637462852944e-08	3.79474245139953e-07
FOXA1	Macrophages	-0.247644336915883	0.0463873142410534	-5.33862201266902	1.13236711499314e-07	7.51891764355443e-07
TCF7	Macrophages	0.198309991505036	0.0402401935275221	4.92815700226199	9.54574791660041e-07	6.09459290059872e-06
ETV4	Macrophages	0.330005067763727	0.0671786786040165	4.91234830189108	1.03311418044752e-06	6.351739035344e-06
CEBPB	Macrophages	-0.246461186365327	0.0514620303258368	-4.78918505167468	1.89807820691375e-06	1.1252892226703e-05
RUNX2	Macrophages	0.380038494171412	0.08134484990345	4.67194290262369	3.3438115313357e-06	1.91404384207492e-05
ATF3	Macrophages	0.18901123503702	0.0406962194928731	4.644442097874	3.81192698152732e-06	2.04122541591463e-05
CDX2	Macrophages	-0.227001220703027	0.0488131438461457	-4.65041181159143	3.70525198816349e-06	2.04122541591463e-05
IRF1	Macrophages	0.285950159503136	0.062156447630143	4.60049070379085	4.69318373605002e-06	2.43458906307595e-05
TCF7L2	Macrophages	-0.267730312179449	0.0585457530410754	-4.5730099669503	5.34017735064382e-06	2.68627103092992e-05
CEBPA	Macrophages	0.252681580381713	0.056466721540444	4.47487605953412	8.42204754809055e-06	4.1119408617148e-05
MYC	Macrophages	-0.327973078055519	0.0751923882905773	-4.3617856210137	1.40839670796953e-05	6.67982438636977e-05
ARNT	Macrophages	0.324037376553709	0.0752308044101341	4.30724327746334	1.7972948598686e-05	8.28752629828301e-05
USF1	Macrophages	0.229776512706276	0.0555056487129367	4.13969601354685	3.73734892499981e-05	0.000164429201088576
TFAP2C	Macrophages	0.185479141739928	0.0448229668743807	4.1380380343797	3.76404195263006e-05	0.000164429201088576
ZEB1	Macrophages	0.178496894132345	0.0434482103665858	4.1082680420278	4.27530202068632e-05	0.000181974393701007
RFX5	Macrophages	0.783250017048449	0.195994474481057	3.99628621736553	6.85313610959906e-05	0.000284405148548361
NFYA	Macrophages	0.23316296874958	0.0594476159845667	3.92215843962712	9.30704978220387e-05	0.000376822015572157
RFX1	Macrophages	0.217789423741557	0.0602096645094559	3.61718381120281	0.000311034895674303	0.00122932839718891
KLF5	Macrophages	0.125088883578293	0.035282543965024	3.54534762862607	0.000408208507122227	0.00157587470191371
PPARG	Macrophages	-0.255936755330037	0.0726221496552199	-3.52422444867193	0.00044178686203687	0.0016667413431391
STAT5B	Macrophages	0.210341929666279	0.060979438462742	3.44939105654107	0.000582663290597433	0.00214938013864831
TFAP2A	Macrophages	-0.179070190386141	0.0522005557321539	-3.43042689631443	0.000624494069593571	0.00225360903375071
AHR	Macrophages	-0.211737833355872	0.0632356822072796	-3.34839169856377	0.000839739671989253	0.00296588905425991
YY1	Macrophages	-0.183889969144001	0.0559995569924357	-3.28377542645276	0.00105579754283672	0.00365129983564367
ETS2	Macrophages	-0.177212386387905	0.0556726868022825	-3.18311180161399	0.00149694926420689	0.00507129750731314
CTCF	Macrophages	-0.147784388682877	0.0465620273906795	-3.17392512664642	0.00154470574064761	0.00512842305895007
TP63	Macrophages	-0.224305258621736	0.0708786136490299	-3.1646394740793	0.00159440111748306	0.00518961932357232
ETS1	Macrophages	0.207235042435317	0.066384119322296	3.121756295797	0.0018435966860493	0.0053918168791651
NFKB1	Macrophages	-0.171311839467913	0.0547112432951704	-3.13119989877903	0.00178582701893984	0.0053918168791651
JUND	Macrophages	0.206796299980775	0.0662687721783154	3.12056935994421	0.00185097795451859	0.0053918168791651
IRF4	Macrophages	-0.317006632164803	0.101082624035984	-3.13611399771293	0.0017564293556316	0.0053918168791651
NRF1	Macrophages	0.271358688360605	0.0862169404630203	3.14739408407788	0.00169062572476337	0.0053918168791651
TCF4	Macrophages	0.231709010604939	0.0742537969404082	3.12050050169011	0.00185140700067717	0.0053918168791651
HIC1	Macrophages	-0.11030862388554	0.0366037164857637	-3.01359081743633	0.00263954756663459	0.00755456717347143
ESR1	Macrophages	-0.15616077651184	0.0521864363281157	-2.99236329397928	0.00282864017575414	0.00792622967234355
GATA3	Macrophages	0.141740025778749	0.0475104216877528	2.98334598480919	0.00291265066272866	0.00792622967234355
PPARA	Macrophages	0.189784173292336	0.0635922630294026	2.98439093454793	0.00290279981622313	0.00792622967234355
