tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Mast	-5.07550063934224	0.238354817917217	-21.2938873386021	3.81816489404179e-66	6.33815372410937e-64
PPARG	Mast	1.03418149362572	0.126396423787106	8.18204710734249	4.60004625007669e-15	3.81803838756365e-13
FOS	Mast	-0.71925713443622	0.0923188485763615	-7.79101067146961	6.85713691628962e-14	3.79428242701359e-12
FOSL1	Mast	0.816697191748712	0.116421487956054	7.01500389736465	1.10961966036794e-11	4.60492159052695e-10
REL	Mast	0.977774401269481	0.148044988753392	6.60457614609452	1.39731651742573e-10	4.63909083785343e-09
FOXA1	Mast	-0.513515471286566	0.083141155300869	-6.1764293439064	1.73654507007852e-09	4.80444136055057e-08
VDR	Mast	-0.557931937207806	0.099032854744047	-5.63380646402445	3.50822972454507e-08	8.31951620392116e-07
STAT1	Mast	0.507843965450507	0.0909905172068575	5.58128452326496	4.63927630528992e-08	9.62649833347658e-07
CDX2	Mast	-0.320164669334572	0.058533464187731	-5.4697714167015	8.33958185309768e-08	1.53818954179357e-06
ESR1	Mast	-0.472606806803293	0.0872318984603923	-5.4178209478942	1.0924645842426e-07	1.65818230915396e-06
NFIC	Mast	-0.540193043761588	0.0997272434083255	-5.41670485716535	1.09879550606588e-07	1.65818230915396e-06
ETS2	Mast	-0.343949083760602	0.0680332162379066	-5.05560522903753	6.77793661511038e-07	9.37614565090269e-06
BACH1	Mast	0.548113661287066	0.117827476954558	4.65183228440388	4.5957486585678e-06	5.8684175178635e-05
NFE2L2	Mast	0.967399852710276	0.21058539421465	4.59386015976114	5.98530948672077e-06	7.09686696282605e-05
ARNT	Mast	0.711683491546033	0.160106349783717	4.44506724753531	1.16461000058149e-05	0.000128883506731018
MEF2C	Mast	-0.623019674244231	0.146783200608283	-4.24448895828936	2.77681169792571e-05	0.000288094213659793
E2F1	Mast	-0.379105128196864	0.0899368709200372	-4.21523591290969	3.14333176618037e-05	0.000306937101874083
NR2F2	Mast	0.147508224496662	0.0355286796167677	4.15180710591466	4.10289562121388e-05	0.000378378151734169
TBP	Mast	0.492970864721563	0.123220846998857	4.00070991823434	7.63665178196842e-05	0.000667202208319346
AHR	Mast	-0.436098289673795	0.109881691801222	-3.96879846428563	8.68634642958916e-05	0.000720966753655901
USF2	Mast	0.43207217186604	0.110811168401437	3.89917530966526	0.00011470871288981	0.000906745063795642
EGR1	Mast	0.415727843191252	0.108506198223956	3.83137415185438	0.000149799312447339	0.00113030390301174
