tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Melanocytes	-2.7165801142997	0.206566068473737	-13.151144011075	3.44564000594652e-35	5.71976240987123e-33
MITF	Melanocytes	1.53807420142847	0.154584408472792	9.94973695357631	8.38244717079937e-22	6.95743115176348e-20
ZNF263	Melanocytes	0.716504523781803	0.0818113137067427	8.75801269186501	1.71920726396237e-17	9.51294686059178e-16
STAT3	Melanocytes	-0.847089513855556	0.0996510450088548	-8.50055826088211	1.29464078584772e-16	5.37275926126805e-15
STAT2	Melanocytes	0.506054655612722	0.0624229974594425	8.10686247390661	2.59157062325504e-15	8.60401446920674e-14
ATF2	Melanocytes	-0.867250716978362	0.127696285382626	-6.79151092280996	2.51104597223617e-11	6.94722718985342e-10
SP1	Melanocytes	-0.682459319131938	0.104320016700387	-6.54197862230026	1.23188190532863e-10	2.92131994692218e-09
USF2	Melanocytes	0.561942762591665	0.0923243644172219	6.08661393055679	1.97269997396989e-09	4.09335244598752e-08
GATA4	Melanocytes	-0.292042325917579	0.0505299624592812	-5.77958723307812	1.16319464512362e-08	2.1454479010058e-07
ETV4	Melanocytes	0.577864542351723	0.101555134454527	5.69015584938714	1.92191898216889e-08	3.19038551040035e-07
MYC	Melanocytes	-0.694479437377951	0.128243330506745	-5.41532596380459	8.62452561653558e-08	1.30151932031355e-06
USF1	Melanocytes	-0.50846358701818	0.0944020156805206	-5.38615180356894	1.00769061990515e-07	1.39397202420212e-06
ELK1	Melanocytes	-0.765626833778638	0.145459417102058	-5.26350819377651	1.92332389156864e-07	2.45593666154149e-06
JUNB	Melanocytes	-0.515444482284649	0.0985878694922181	-5.22827488756449	2.31033639244713e-07	2.73939886533017e-06
E2F4	Melanocytes	-0.52935997586288	0.108227312197766	-4.89118656938988	1.26529746436727e-06	1.40026252723311e-05
AR	Melanocytes	-0.512517589781599	0.114614001219166	-4.47168395073792	9.16038614975375e-06	8.94770930060827e-05
EPAS1	Melanocytes	0.414121694772348	0.0928732389531941	4.45899916316104	9.70233538620174e-06	8.94770930060827e-05
NR1H2	Melanocytes	0.692876788570209	0.15499647215981	4.47027457409362	9.21913794697402e-06	8.94770930060827e-05
STAT1	Melanocytes	0.396095398485988	0.0899494598452204	4.40353281906934	1.2454121958645e-05	9.98233173287659e-05
VDR	Melanocytes	-0.46683173251425	0.106339224602287	-4.39002385300646	1.3229596272487e-05	9.98233173287659e-05
E2F3	Melanocytes	0.252974532615834	0.0572190146141194	4.42116199172382	1.15073260284231e-05	9.98233173287659e-05
HNF4G	Melanocytes	-0.0930135683646054	0.0211842189205268	-4.39070086622255	1.31896577225203e-05	9.98233173287659e-05
MAF	Melanocytes	0.227233272153082	0.052393689407217	4.33703514152187	1.67408899889988e-05	0.000120825553833643
NR5A1	Melanocytes	0.1221271724038	0.029484134391365	4.14213185921331	3.8960407768469e-05	0.000269476153731911
HNF4A	Melanocytes	0.331850547644867	0.0812609593516465	4.08376359684391	4.98501822101754e-05	0.000331005209875565
FOXL2	Melanocytes	-0.353130693362909	0.0868604430577486	-4.06549495871363	5.38149381000369e-05	0.00034358768171562
NFATC1	Melanocytes	0.355195859091927	0.0876962204764043	4.05029837275024	5.73393559896203e-05	0.000352530855343592
FOXA2	Melanocytes	0.18650015828401	0.0467564065657685	3.98876158332817	7.39793594445256e-05	0.00043859191670683
ESR2	Melanocytes	-0.453534435909139	0.11794549904843	-3.84528820148458	0.000132275651464109	0.000757164073898006
SP3	Melanocytes	0.317121703170835	0.0839722380338836	3.7765065049579	0.000173647340604245	0.000942558232103245
RFX5	Melanocytes	-0.438795275367309	0.116297273503209	-3.773048689359	0.000176019910814462	0.000942558232103245
SRF	Melanocytes	-0.41714850689286	0.110804281797549	-3.76473273528393	0.000181851586744719	0.000943355106238228
CEBPA	Melanocytes	0.34729027128725	0.096260534310479	3.60781574479006	0.000332535278592329	0.00167275321958565
MAX	Melanocytes	-0.535740014688932	0.150900720674305	-3.55028135250091	0.000412641664119045	0.00201466224246357
ETS2	Melanocytes	0.201021771611716	0.0577449373118785	3.48120165974039	0.000532641108945587	0.00252624068814193
MEF2A	Melanocytes	-0.339729784488202	0.0987353811410198	-3.44081098955783	0.000617168427424097	0.00284583219312223
REL	Melanocytes	-0.340956011566736	0.0995026450489525	-3.42660249281811	0.000649766158229047	0.00291516708827086
FLI1	Melanocytes	-0.331399347022148	0.0983788096301402	-3.36860496958704	0.000800192294847657	0.00349557686696608
CTCF	Melanocytes	-0.267476195377363	0.083523033982651	-3.20242432085168	0.00142937177923754	0.00608399270137004
RARA	Melanocytes	0.250497784857079	0.0785794793233829	3.18782698758018	0.00150233895991546	0.00623470668364918
HIF1A	Melanocytes	-0.38010690905385	0.120341261329012	-3.15857507937066	0.00165901727696643	0.00671699677991286
TBX21	Melanocytes	-0.131847922730987	0.0419260091719516	-3.14477636519702	0.00173803894401169	0.00686939201680812
TP53	Melanocytes	-0.298354378766339	0.0956120290796458	-3.12046906271393	0.00188573066482967	0.00727979745027266
NR1H3	Melanocytes	-0.549887186562425	0.176750653886062	-3.11108997037656	0.00194574446821022	0.0073407632209749
RXRA	Melanocytes	-0.230104425666861	0.0743085165719836	-3.09660906020046	0.00204186250692331	0.00753220391442819
TFAP2A	Melanocytes	0.337860370746695	0.110098167830786	3.06871928392093	0.00223939052295194	0.00808127884369612
THAP11	Melanocytes	0.392373895535412	0.129157164035794	3.03795688349637	0.00247751362850893	0.00875036728366984
STAT6	Melanocytes	-0.322484235611383	0.106842902178792	-3.01830284497265	0.00264158092176564	0.00913546735443952
IRF2	Melanocytes	0.268248657614344	0.0903705612114624	2.96831904127115	0.00310467012710702	0.0105178620632605
NR3C1	Melanocytes	-0.358564012658731	0.122283148586281	-2.93224386846511	0.00348376129952392	0.0115660875144194
ATF4	Melanocytes	-0.318585690734453	0.113325551913968	-2.81124323114976	0.00508400259690976	0.0165479300213141
CEBPB	Melanocytes	-0.210721416109161	0.0765032963957028	-2.75440962725623	0.00604456990616617	0.0192961270081459
RUNX2	Melanocytes	-0.341999608422938	0.125972683077249	-2.71487119325081	0.00680644856516057	0.0213183106003142
TBP	Melanocytes	0.46710193936895	0.175636242026951	2.65948493305427	0.00801918434358948	0.0246515666858492
ATF1	Melanocytes	-0.253318189776622	0.0970970216882878	-2.60891822809821	0.00929212450995762	0.0280453212482357
STAT5B	Melanocytes	0.203441323989401	0.0785687087300487	2.58934284752467	0.00983153829653909	0.0291434885218837
GLI2	Melanocytes	0.177962265341046	0.0689093919050547	2.58255457523478	0.0100250239282904	0.0291956837209861
E2F2	Melanocytes	-0.114102193867488	0.0447822536438786	-2.54793326782662	0.0110656822798335	0.0316707458353854
NFIC	Melanocytes	-0.256957564834029	0.103607340824253	-2.48010964078212	0.0133867557112132	0.0376644313230743
IRF8	Melanocytes	-0.109583744448283	0.0461544680596986	-2.37428247047593	0.0178729836838575	0.0494485881920056
CREB1	Melanocytes	0.224004604703785	0.0961457659132531	2.32984367617282	0.0201201797163599	0.0547532759494385
MXI1	Melanocytes	0.366543781424713	0.159474979105183	2.29844069258637	0.0218537002365928	0.058511519988297
CREM	Melanocytes	0.226719885105533	0.0995926014844739	2.27647316895199	0.0231425089393974	0.0609786743482535
FOSL2	Melanocytes	0.204953515919507	0.0929251013497564	2.2055775344069	0.0277633665337046	0.0720112319467962
KLF5	Melanocytes	0.139551845461078	0.0636534889366335	2.19236757941109	0.0287073302927718	0.0733141050553864
FOXP1	Melanocytes	-0.191258898511139	0.0886203076466163	-2.15818364424783	0.0312796245579587	0.0786729951003203
ERG	Melanocytes	-0.126698231582267	0.0601914771808342	-2.10491979124595	0.0356821008135924	0.0884063990306916
SMAD4	Melanocytes	-0.170405989119991	0.0815399260426925	-2.08984723668709	0.0370202202336474	0.0903728905703744
ARNT	Melanocytes	-0.254249437387806	0.123713539277441	-2.05514642029296	0.0402645425214062	0.0959037319649572
FOXA1	Melanocytes	0.174373814412231	0.0849226659604846	2.05332478014019	0.0404413327563073	0.0959037319649572
RBPJ	Melanocytes	-0.283925209483911	0.13944045778863	-2.03617525348559	0.0421382709615785	0.0972293781014137
KMT2A	Melanocytes	-0.0945605890942764	0.0464478887902521	-2.03584256587614	0.0421717784536252	0.0972293781014137
STAT4	Melanocytes	-0.218173510849658	0.109147726087779	-1.99888278638254	0.0460376190059311	0.104688284314857
GATA3	Melanocytes	0.154662257486088	0.0803473573586826	1.92492027828187	0.0546760930996235	0.121016419393833
NFKB2	Melanocytes	0.147311753184952	0.0764559852432474	1.92675240161087	0.0544467861963361	0.121016419393833
IRF3	Melanocytes	-0.153610940257123	0.0806082938645454	-1.9056468372256	0.0571376226621265	0.124800596867276
SMAD1	Melanocytes	-0.253441637889213	0.133626454705506	-1.89664268537067	0.0583188795783138	0.125726415714287
NFKB1	Melanocytes	0.159599272642099	0.0849991841358281	1.87765652417393	0.0608763966025791	0.129557459436258
NANOG	Melanocytes	-0.0880282086829759	0.047139079930532	-1.86741465494663	0.0622942565613881	0.130896792268233
FOS	Melanocytes	-0.172696493913921	0.0943314922681592	-1.83074061229723	0.0675976332329748	0.138533421193504
KLF6	Melanocytes	-0.140840809300807	0.0767017095495745	-1.83621473534142	0.0667831543568281	0.138533421193504
HNF1A	Melanocytes	0.0513990518757302	0.0288820147985328	1.77962140918027	0.0756058004907409	0.15305564489589
TAL1	Melanocytes	-0.148196009384343	0.084394698421982	-1.7559871906094	0.0795622637512979	0.159124527502596
NFATC2	Melanocytes	-0.13580247033902	0.0780373383670728	-1.7402242718765	0.0822936391394994	0.162627905918535
SREBF1	Melanocytes	0.168431916241743	0.0975777698952126	1.72613000299781	0.0847999528352313	0.164036325528103
SOX10	Melanocytes	0.266692576378375	0.15459401903349	1.72511574539375	0.084982674671186	0.164036325528103
AHR	Melanocytes	-0.162295037582311	0.0964541627496685	-1.68261309782473	0.0929309981312817	0.175631006005868
ZEB1	Melanocytes	-0.149870096404496	0.0891175265099137	-1.68171292756677	0.0931055935452795	0.175631006005868
MEF2C	Melanocytes	-0.196416867541268	0.117954798070672	-1.66518760367498	0.0963579487688013	0.17972381455754
SNAI1	Melanocytes	-0.163078526506687	0.0987297828505922	-1.65176628367019	0.0990659197775758	0.182721585367529
PRDM14	Melanocytes	0.120119464373449	0.0760585398819609	1.57930279176893	0.114753858897921	0.209331215132472
ETS1	Melanocytes	-0.165121223906252	0.104995376958011	-1.57265232708566	0.116286696493327	0.209821648020568
JUND	Melanocytes	-0.193545557537204	0.125719021372425	-1.539508941641	0.124167493584166	0.221388319599441
NFYA	Melanocytes	-0.185927067938159	0.121155100695473	-1.53462022540423	0.125364470134623	0.221388319599441
E2F6	Melanocytes	0.102907508503214	0.0674682116001896	1.52527399292921	0.127677915641276	0.223100357857387
IRF4	Melanocytes	-0.108478016331267	0.0744787569825165	-1.45649606312215	0.145739143708028	0.252007269328465
PPARG	Melanocytes	0.14178770042102	0.102525241399707	1.38295407536027	0.1671545526312	0.27309498658927
ESR1	Melanocytes	-0.13344315063381	0.0961981008369155	-1.38717032324823	0.165866012148223	0.27309498658927
E2F1	Melanocytes	0.132550910430721	0.0953835241563037	1.38966253976432	0.165107888093589	0.27309498658927
SPI1	Melanocytes	0.115228322274537	0.0826491049724579	1.3941871761701	0.163738194951997	0.27309498658927
NR2C2	Melanocytes	0.129973006034331	0.0926849745661715	1.40230934563766	0.161301019513348	0.27309498658927
RUNX3	Melanocytes	0.095373356317247	0.0690693916956677	1.38083388279253	0.167805353205455	0.27309498658927
FOXO1	Melanocytes	0.151862986315069	0.110513114608364	1.37416257657058	0.169865576995977	0.273763939624584
CLOCK	Melanocytes	0.141951738928379	0.105083822954276	1.35084292650968	0.177216524445365	0.282864837095487
PGR	Melanocytes	0.0930894612100367	0.0735379835065754	1.26586910289311	0.206014165196976	0.325698584978077
STAT5A	Melanocytes	0.0970363166378179	0.0784685425437814	1.2366269780489	0.216672915028593	0.339317961271193
TP63	Melanocytes	-0.115824376797769	0.0941964789017912	-1.22960410142853	0.219290964649905	0.340208412447516
ZBTB33	Melanocytes	-0.115530561064564	0.094761854267065	-1.21916737444761	0.223223590206234	0.34310292568736
RFX1	Melanocytes	0.114285586276452	0.0972350072051767	1.17535432516909	0.240283998860998	0.363644868336506
TCF4	Melanocytes	-0.116780338954174	0.0995026321115135	-1.1736407015173	0.240969491066359	0.363644868336506
SPIB	Melanocytes	-0.082667043675856	0.0710442991968734	-1.16359855203546	0.2450143499215	0.366417856639361
NFE2L2	Melanocytes	0.165935058210516	0.146339912608819	1.13390158058982	0.25725449688606	0.381287915027552
SP4	Melanocytes	0.100618135525583	0.0913518834746608	1.10143471265693	0.271115820230497	0.398276337683738
SMAD3	Melanocytes	0.0858976579583265	0.0803122085040408	1.06954670477035	0.285221017278746	0.415321832177823
RELA	Melanocytes	0.0883306549950453	0.086896289562574	1.01650663612557	0.309766980044153	0.432111921742264
TP73	Melanocytes	0.106113873914243	0.104370430796907	1.01670437789731	0.309672945944529	0.432111921742264
SOX9	Melanocytes	-0.0967032429284075	0.0939312901110732	-1.02951043059301	0.303623400377884	0.432111921742264
REST	Melanocytes	0.0225924805573902	0.0222246616602101	1.01655003359797	0.309746341196082	0.432111921742264
NFYB	Melanocytes	-0.126485843671251	0.122392787507412	-1.03344197192658	0.301782048507849	0.432111921742264
ESRRA	Melanocytes	0.0668353206446602	0.0669930488248869	0.997645603790343	0.318823053383192	0.441038557180083
YBX1	Melanocytes	-0.11025997583562	0.115458535139275	-0.954974664303652	0.339946070829682	0.466372295518406
RUNX1	Melanocytes	-0.0795531534110644	0.0840898398612015	-0.946049529198469	0.34447541223935	0.468712446161738
NRF1	Melanocytes	0.144902045136791	0.154376218236793	0.938629322519936	0.348270274510316	0.470023297306605
LEF1	Melanocytes	-0.0783151859308008	0.0877966241211504	-0.892006802251688	0.372719883384254	0.498963714853114
IRF9	Melanocytes	-0.058977351368116	0.0672030229731616	-0.877599678688105	0.380485758098682	0.50528508675505
RELB	Melanocytes	0.0645524550869523	0.0742177099200399	0.869771583581591	0.384746806734059	0.506888650141697
BCL6	Melanocytes	-0.104429763662075	0.122180361661337	-0.854718076146614	0.393022637338038	0.513714628331609
GATA2	Melanocytes	-0.0791243177031055	0.0951751487456011	-0.831354810010345	0.406078977403361	0.522551242239984
TWIST1	Melanocytes	-0.0919348156148262	0.110007371590449	-0.835715046052496	0.403622790798183	0.522551242239984
TCF7	Melanocytes	0.100055321096546	0.123311464384827	0.811403234854917	0.417431615397613	0.53302806273849
FOSL1	Melanocytes	-0.0719217458599521	0.0907650413307476	-0.792394789948582	0.428420062403553	0.539206890849611
TEAD1	Melanocytes	-0.0663269083075403	0.0837673087593677	-0.791799441689989	0.428766925253908	0.539206890849611
