tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Pericyte/SMC	-2.40901137057533	0.0796132108463251	-30.2589400046353	1.63489871978854e-176	2.71393187484898e-174
SMAD3	Pericyte/SMC	1.04984260016327	0.0637515968245553	16.4677067313693	1.74873726890984e-58	1.45145193319517e-56
VDR	Pericyte/SMC	-0.622672759699961	0.0478239665097626	-13.0200986062679	8.98254108967971e-38	3.82462608264479e-36
ZEB1	Pericyte/SMC	0.511182493177886	0.0392672614991674	13.0180326730634	9.2159664642043e-38	3.82462608264479e-36
SMAD4	Pericyte/SMC	-0.640071393590544	0.0506391055568435	-12.6398637288735	9.49691330243918e-36	3.15297521640981e-34
NR5A1	Pericyte/SMC	0.157541855369088	0.0133934562580256	11.7625990135807	2.77258962806741e-31	7.67083130431982e-30
NR1H2	Pericyte/SMC	1.08551746440285	0.0956220386020315	11.3521681850003	2.7079742017725e-29	6.42176739277478e-28
CEBPA	Pericyte/SMC	0.447839493273249	0.0398597037613362	11.2353944212614	9.70673280537362e-29	2.01414705711503e-27
NR1H3	Pericyte/SMC	-1.23970584634855	0.110506689633948	-11.2183782760579	1.1679654029191e-28	2.15424729871745e-27
CREM	Pericyte/SMC	0.586217173100144	0.0610800306232104	9.59752585450377	1.62218511530436e-21	2.69282729140523e-20
ELK1	Pericyte/SMC	-0.706274254668056	0.074748564776507	-9.44866642964672	6.52771362633005e-21	9.85091329064353e-20
SP1	Pericyte/SMC	-0.432985209055393	0.0458908144359333	-9.43511712261872	7.40226648008907e-21	1.02398019641232e-19
TP73	Pericyte/SMC	-0.323628688037009	0.0344146682797941	-9.40380088530509	9.89218304513375e-21	1.26315568114785e-19
ATF2	Pericyte/SMC	-0.609090281838563	0.0657585045809057	-9.26253243927059	3.61864748253441e-20	4.29068201500508e-19
YY1	Pericyte/SMC	-0.390204711709153	0.0436571404091064	-8.937935651593	6.65049497218681e-19	7.3598811025534e-18
ARNT	Pericyte/SMC	0.518353606138839	0.0587199015357615	8.82756259090714	1.75080739552857e-18	1.81646267286089e-17
E2F1	Pericyte/SMC	-0.369526275211165	0.042226954122231	-8.7509573657983	3.40535095850721e-18	3.32522505360116e-17
FOXO1	Pericyte/SMC	0.485665894311432	0.0562708120751533	8.63086698771635	9.5585291022007e-18	8.81508794980732e-17
REL	Pericyte/SMC	-0.555927797271005	0.0651486982724758	-8.53321420093324	2.19096077071047e-17	1.9142078312523e-16
STAT3	Pericyte/SMC	-0.520317560090123	0.0614455175025484	-8.4679498397673	3.79554409143377e-17	3.15030159589003e-16
MYC	Pericyte/SMC	-0.477135887329937	0.0575901891622209	-8.28502031806032	1.73412316935464e-16	1.37078307672795e-15
