tf	cell_type	estimate	std_error	t_value	pval	padj
MXI1	Plasma	4.2532851954174	0.816939547878747	5.2063646648781	8.65257299859438e-05	0.0143632711776667
WT1	Plasma	-1.75363809891138	0.678092576414119	-2.58613375209761	0.0198929237454776	0.454232028744967
ETS1	Plasma	2.27727809849634	0.910335346945327	2.50158153930621	0.0235990116671935	0.454232028744967
CEBPA	Plasma	-1.77021494382661	0.615008840824627	-2.87835690533007	0.0109203963006417	0.454232028744967
SREBF1	Plasma	2.22886583139009	0.861512417624369	2.58715461993713	0.0198517674411012	0.454232028744967
SREBF2	Plasma	-1.96218758933048	0.75322519030252	-2.60504775277418	0.0191434825506543	0.454232028744967
IRF2	Plasma	1.14398866964962	0.443095197935321	2.58181238474313	0.020068044149744	0.454232028744967
SPIB	Plasma	-2.05911814395314	0.751802988399658	-2.73890656957394	0.0145622755939152	0.454232028744967
RFX5	Plasma	-1.99078448299575	0.80261673300155	-2.48036752928237	0.0246270377030404	0.454232028744967
CREB1	Plasma	1.96115964815899	0.814504405054354	2.40779501742304	0.0284739167045142	0.472667017294935
TP73	Plasma	1.77141121746018	0.752263297705579	2.35477554582688	0.0316353430078263	0.477406085390833
IRF1	Plasma	1.48227850591991	0.648975625138549	2.28402801045642	0.0363686137625023	0.503099157047949
AR	Plasma	-1.39055922395778	0.672840038765382	-2.06670106391019	0.0553416259758318	0.612447327465871
RFX1	Plasma	-2.00290305216963	0.94836063244504	-2.1119635122409	0.0507661321944096	0.612447327465871
GLI2	Plasma	-1.38010979211075	0.657353634893506	-2.09949366498039	0.0519908226038783	0.612447327465871
YY1	Plasma	-1.72979374384368	0.852531459295093	-2.02900869520281	0.0594357286894605	0.616645685153153
USF1	Plasma	-1.20556626883927	0.607717106593706	-1.98376227320068	0.0647126118676897	0.623231961335516
REST	Plasma	0.254936258837711	0.130032184470112	1.96056276280053	0.0675793693014415	0.623231961335516
MAF	Plasma	0.501803018825959	0.262472352755788	1.91183190746513	0.0739762995618525	0.646319248803553
HNF4G	Plasma	-0.109182320958231	0.0595254805758342	-1.83421149904259	0.0852882050025371	0.707892101521058
TCF7	Plasma	0.655344825678687	0.363116170325781	1.80478006553859	0.0899630122089796	0.711136191747172
ATF1	Plasma	-1.05567439308024	0.697109198040528	-1.51436015483311	0.149438070433728	0.751470691921173
GATA4	Plasma	-0.585455194938046	0.386239472272832	-1.51578291957817	0.149080470896051	0.751470691921173
PAX6	Plasma	-0.632162918269558	0.447380142080871	-1.41303303121417	0.176804218488883	0.751470691921173
NR5A1	Plasma	-0.272005268034865	0.187883669247179	-1.44773236079936	0.167002861147263	0.751470691921173
FLI1	Plasma	-0.85780950307838	0.551941253625716	-1.55416812467524	0.139699791434689	0.751470691921173
HIF1A	Plasma	1.41272469466765	0.904608019726684	1.56169817629351	0.137919126365167	0.751470691921173
GATA3	Plasma	0.965864058763354	0.575969785405008	1.67693528938186	0.112980227992291	0.751470691921173
POU2F1	Plasma	-1.09257798416679	0.710773999137595	-1.53716650509508	0.143791590902997	0.751470691921173
JUNB	Plasma	-1.5865599480374	1.10324604573889	-1.43808351198287	0.169682426156943	0.751470691921173
PGR	Plasma	-0.921379547636753	0.588222548455936	-1.56637917069882	0.136821877905831	0.751470691921173
EPAS1	Plasma	-0.959925192296231	0.559185927302654	-1.71664762188602	0.105336390745657	0.751470691921173
ATF6	Plasma	2.53229933500954	1.51201203136999	1.67478782077885	0.113406898577747	0.751470691921173
IRF8	Plasma	-0.350069146122686	0.253087787995807	-1.383192562924	0.185604207040772	0.751470691921173
MYB	Plasma	-1.19345142208321	0.812041452453896	-1.46969273363662	0.161034071622535	0.751470691921173
KLF4	Plasma	1.01986572508701	0.720027344911068	1.41642637921339	0.17582542437779	0.751470691921173
CLOCK	Plasma	-0.39390089926784	0.28218292553692	-1.39590621409268	0.181812413282126	0.751470691921173
BACH1	Plasma	1.22113657448947	0.719159140705029	1.69800605369812	0.108866797188044	0.751470691921173
STAT2	Plasma	-1.35296667513008	0.902543151760061	-1.49906037455566	0.153329022136609	0.751470691921173
TBP	Plasma	1.88294212406906	1.31110148857216	1.43615283826705	0.170222809107099	0.751470691921173
NRF1	Plasma	1.6596161204756	1.15850484876423	1.43254999946345	0.171234997967568	0.751470691921173
AHR	Plasma	-1.0013366961851	0.781793161748314	-1.28082048446909	0.21851196767685	0.754786817012383
HNF4A	Plasma	0.697415635092552	0.524711800122421	1.32914036796931	0.20244459137525	0.754786817012383
MYC	Plasma	-1.35313371646978	1.05825143961256	-1.27865048495959	0.21925648837605	0.754786817012383
ATF4	Plasma	-1.47929303326523	1.16047243306789	-1.27473345433505	0.220605460698174	0.754786817012383
ELK1	Plasma	-1.51891799716497	1.21048794490177	-1.25479811968571	0.227572150061145	0.754786817012383
LEF1	Plasma	0.463135083824846	0.382899059178273	1.20954876415409	0.24402127096906	0.754786817012383
SP3	Plasma	0.726198160022596	0.665014047066908	1.09200424145256	0.291002146318027	0.754786817012383
YBX1	Plasma	1.0744144422591	0.909337355137253	1.1815355832346	0.254654486453163	0.754786817012383
STAT6	Plasma	-1.08550788567649	0.879538029533762	-1.23417959113366	0.23495710847872	0.754786817012383
PAX5	Plasma	-1.15970066861958	0.870173910988567	-1.3327228660557	0.201291841626017	0.754786817012383
CTCF	Plasma	-0.667512670233181	0.574426647604437	-1.16205032098867	0.262256543843806	0.754786817012383
SNAI1	Plasma	-0.97203926736258	0.84532327126623	-1.14990241059676	0.267082192614339	0.754786817012383
VDR	Plasma	0.833903372168623	0.65098118999809	1.28099457400769	0.218452324376107	0.754786817012383
FOXO4	Plasma	-1.10393072541508	0.984633972062431	-1.12115847790908	0.278766289895161	0.754786817012383
FOXA1	Plasma	-0.618372756494527	0.533806196338489	-1.15842184061575	0.263690967687108	0.754786817012383
TWIST1	Plasma	-1.06973629840615	0.936764239887109	-1.14194826494985	0.270277972117393	0.754786817012383
NR2F2	Plasma	-0.22749672615555	0.206642293553822	-1.10092044684113	0.287218690337959	0.754786817012383
BCL6	Plasma	1.12952602474381	0.975795451438273	1.15754385110009	0.264038947253358	0.754786817012383
MAX	Plasma	-1.6481832622687	1.34393356416572	-1.22638745412378	0.237795975942675	0.754786817012383
NR2C2	Plasma	0.891179545514551	0.81504374055366	1.0934131521692	0.290401864120559	0.754786817012383
E2F6	Plasma	-0.380743190014636	0.308960270874165	-1.23233705400817	0.235626006261635	0.754786817012383
NANOG	Plasma	-0.455049458781213	0.404038958490002	-1.12625143991523	0.27666869225967	0.754786817012383
ZNF263	Plasma	0.358433337887339	0.286854453239386	1.24953032396614	0.229441479263332	0.754786817012383
CEBPD	Plasma	1.4034304182493	1.30293744806905	1.07712800820115	0.297396172312545	0.759504070828962
FOS	Plasma	-0.56324126068406	0.528897651081741	-1.06493432052889	0.302713480044993	0.761370267991953
ETS2	Plasma	0.73075575546461	0.703104415313011	1.03932750178974	0.31410452211295	0.766784568687495
PRDM14	Plasma	0.392036245529603	0.376267004952844	1.04190970871532	0.312942006673109	0.766784568687495
FOXA2	Plasma	-0.43463688237643	0.429563808346827	-1.01180982645891	0.326686459646098	0.785941337699308
FOXO1	Plasma	-1.03441422150679	1.12541410854952	-0.91914097544058	0.371671491840503	0.845825630457615
TFAP2A	Plasma	-0.456095094400954	0.498123773576053	-0.915626032314471	0.37345732110539	0.845825630457615
USF2	Plasma	0.689928287078651	0.761384423533152	0.906149726411641	0.378300879896566	0.845825630457615
CDX2	Plasma	-0.461855409735808	0.513928150187916	-0.89867700293695	0.382150134242898	0.845825630457615
GATA1	Plasma	-0.460257312377099	0.502664767668271	-0.915634717173657	0.373452901445384	0.845825630457615
KLF6	Plasma	-0.54607674670544	0.593069082945093	-0.920764144361908	0.370848774060823	0.845825630457615
TFAP2C	Plasma	0.670769902503993	0.810128835156655	0.827979295878644	0.419861464985872	0.911110862077826
TBX21	Plasma	-0.487557454625464	0.606980046301537	-0.803251206685062	0.433600952434628	0.911110862077826
E2F2	Plasma	-0.264056161315619	0.322918702287617	-0.817717151236505	0.425529026236864	0.911110862077826
TCF4	Plasma	0.851420684347131	1.05896557779799	0.804011671576309	0.433174213073786	0.911110862077826
ESR1	Plasma	-0.503486036006322	0.773173592659249	-0.651194040751747	0.5241645115846	0.940025968314976
NFKB1	Plasma	0.516455265683493	0.672036483822772	0.768492898995185	0.453388915437331	0.940025968314976
FOXO3	Plasma	0.588344368809688	0.901674822058369	0.652501716158158	0.523342450880739	0.940025968314976
CEBPB	Plasma	0.356719996916241	0.535043467071691	0.66671218110293	0.514456087248751	0.940025968314976
MYCN	Plasma	-0.553724634250805	0.862023768627999	-0.642354253331223	0.52974055517514	0.940025968314976
ETV4	Plasma	-0.548573150488917	0.795038207216255	-0.689995959325892	0.500083440011766	0.940025968314976
GATA2	Plasma	0.468555254239999	0.684324621996994	0.684697348566332	0.503333538948616	0.940025968314976
SOX10	Plasma	-0.431411832270403	0.622586256438627	-0.692935039617167	0.498285920134961	0.940025968314976
ZEB1	Plasma	0.650161534568705	0.906818262033785	0.716970049886889	0.483728471675846	0.940025968314976
NFE2L2	Plasma	-0.573780234509324	0.898908071704088	-0.638308023446258	0.53230386157595	0.940025968314976
NR3C1	Plasma	0.353663012161894	0.49919388832101	0.708468233357995	0.488848752076805	0.940025968314976
NFYA	Plasma	-0.685599935090706	0.980906470804356	-0.6989452669514	0.494621861566929	0.940025968314976
STAT5B	Plasma	-0.308622270478776	0.464073281785537	-0.665029172313781	0.515504035124736	0.940025968314976
NFKB2	Plasma	-0.445740233126336	0.636355731784981	-0.700457638491024	0.493702354835103	0.940025968314976
POU2F2	Plasma	0.346972685726448	0.45709211238059	0.759087011848385	0.458838430095612	0.940025968314976
JUN	Plasma	0.413688881088776	0.689481758196107	0.599999747884717	0.55690937229105	0.950443128190772
EGR1	Plasma	0.423638316382671	0.710492350386995	0.596260207660113	0.559343503941643	0.950443128190772
E2F4	Plasma	0.559617433686707	0.911261667273059	0.614112777684763	0.547774191001141	0.950443128190772
SOX2	Plasma	-0.268346976913399	0.452097883595839	-0.59355946278504	0.561104979293347	0.950443128190772
SP1	Plasma	-0.275996843683973	0.490307671517851	-0.562905415755716	0.581302081246187	0.958137722929807
RXRA	Plasma	-0.342909951140942	0.599956626320816	-0.571557902850092	0.575563546597777	0.958137722929807
KMT2A	Plasma	0.259591532033918	0.463218130284779	0.560408833467562	0.582963313348859	0.958137722929807
