tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Schwann	-3.02409023932585	0.218807670209249	-13.82076888088	1.45968583899792e-35	2.42307849273655e-33
ZNF263	Schwann	0.564743005293671	0.0767329075613084	7.35985411268888	1.12362038952601e-12	9.32604923306591e-11
CEBPA	Schwann	0.596219149191877	0.0957960747550235	6.22383694443192	1.26824617563244e-09	7.01762883849949e-08
GLI2	Schwann	0.544788121495065	0.0956741251917675	5.69420541241533	2.46258289885663e-08	1.0219719030255e-06
ETS1	Schwann	-0.541207735917792	0.107170829741383	-5.04995377215791	6.83506784282629e-07	2.26924252381833e-05
ATF2	Schwann	-0.705247537359108	0.144118756486139	-4.89351667023948	1.45899172725993e-06	3.52086451207696e-05
YY1	Schwann	-0.492123619699932	0.10064155590695	-4.88986497938221	1.48470190268305e-06	3.52086451207696e-05
MEF2A	Schwann	-0.609094767858162	0.127188081441993	-4.78892959900453	2.39611128291096e-06	4.97193091204023e-05
FOXL2	Schwann	-0.477732341229579	0.100988587108326	-4.73055772844052	3.14850296655301e-06	5.80723880497556e-05
RUNX2	Schwann	0.707058109716406	0.151171653259159	4.67718712121425	4.0318079141434e-06	6.69280113747804e-05
ELK1	Schwann	-0.724673702409315	0.164027290652089	-4.41800690317069	1.29660612953429e-05	0.000195669652275174
NR5A1	Schwann	0.133849221889205	0.0307394865422452	4.35430896691316	1.71336163862695e-05	0.000237015026676728
STAT3	Schwann	-0.613319626012848	0.142656364005094	-4.29927981334887	2.1739698603639e-05	0.00027759922832339
SRF	Schwann	-0.573996530158552	0.136212627146083	-4.21397444704565	3.12903003319576e-05	0.000371013561078926
CREM	Schwann	0.473636385979164	0.116023756568664	4.08223625907906	5.42648387966744e-05	0.000600530882683196
TWIST1	Schwann	-0.43129626272207	0.109642024459984	-3.93367657015016	9.92291531158252e-05	0.00102950246357669
FOXA2	Schwann	0.314400382126283	0.0822935309109487	3.82047505613171	0.000155235761700062	0.00151583155542413
SMAD4	Schwann	-0.432770714535429	0.11545210615466	-3.74848696095409	0.000205188850327833	0.00189229717524557
ETV4	Schwann	0.423181387618338	0.116573000876924	3.63018352821787	0.000321473466283367	0.00280866291594942
TBP	Schwann	0.615872764005193	0.170934210599542	3.6029812981559	0.0003558392685427	0.00295346592890441
JUNB	Schwann	-0.407715813641565	0.115180027089283	-3.53981348975998	0.000449397366853245	0.00355237918560184
