tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	Sweat gland	-3.15749122594485	0.153863132099371	-20.5214282516076	1.69372267007277e-75	2.8115796323208e-73
STAT3	Sweat gland	-0.847245714129906	0.0833054768967937	-10.1703482854981	6.24303826540878e-23	5.18172176028929e-21
ELK1	Sweat gland	-1.03118273615516	0.11755681160078	-8.77178210359284	1.05034018729341e-17	5.81188236969021e-16
CEBPB	Sweat gland	0.521318525511846	0.0673502538696078	7.74040921243052	2.9946281771899e-14	1.24277069353381e-12
ATF2	Sweat gland	-0.731148859919998	0.102699941356808	-7.11927241885938	2.41904001206286e-12	8.03121284004871e-11
FOS	Sweat gland	-0.508695256578693	0.0720684199422275	-7.05850436274973	3.65615642644265e-12	1.0115366113158e-10
ATF4	Sweat gland	-0.739756070235714	0.1071017148082	-6.90704225941185	1.01030523758242e-11	2.39586670626687e-10
E2F1	Sweat gland	-0.54622753542879	0.0798124919692259	-6.84388523590272	1.53503097825033e-11	3.18518927986943e-10
ATF6	Sweat gland	-0.810577921537236	0.125597365847548	-6.45378122436998	1.89048879241778e-10	3.48690155045947e-09
ARNT	Sweat gland	0.654997654922482	0.101955960352663	6.42431940866292	2.2735333346855e-10	3.77406533557792e-09
POU2F1	Sweat gland	-0.431685344957351	0.0675853315524544	-6.38726384914323	2.86440353877648e-10	4.32264534033541e-09
CEBPA	Sweat gland	0.482373097668431	0.0787369778392385	6.12638573267719	1.4100581546488e-09	1.95058044726417e-08
NR5A1	Sweat gland	0.145395097120519	0.0242954397162696	5.98446040979261	3.27597000232778e-09	4.18316169528008e-08
GATA4	Sweat gland	-0.285076954710933	0.0489832609429678	-5.81988518573425	8.52233840866645e-09	1.01050583988474e-07
CREM	Sweat gland	0.576396348580999	0.0998909506922406	5.77025590993572	1.1318824385865e-08	1.25261656536906e-07
ZNF263	Sweat gland	0.328526260332088	0.0588575189932982	5.58172117940437	3.2630139984925e-08	3.38537702343597e-07
JUN	Sweat gland	0.420846943463051	0.0810383529277763	5.19318234216979	2.6252614932048e-07	2.56349063454116e-06
SMAD1	Sweat gland	-0.539945571143327	0.104657872138119	-5.15914914102924	3.13168349331481e-07	2.88810811050144e-06
AHR	Sweat gland	-0.391577645327308	0.0760875974696039	-5.14640570013712	3.34463752153576e-07	2.92215699249966e-06
CDX2	Sweat gland	-0.420566768985468	0.0822605726464365	-5.11261659693402	3.97930291654659e-07	3.30282142073367e-06
EPAS1	Sweat gland	0.344528086481975	0.0700080327176546	4.92126507641589	1.04458329093898e-06	8.25718220456524e-06
MEF2A	Sweat gland	-0.392013799747792	0.0804662086754943	-4.87178166090456	1.33370629067893e-06	1.00634201933047e-05
FOXL2	Sweat gland	-0.410217216690164	0.085887189822249	-4.776232841465	2.12478985859945e-06	1.53354398490221e-05
VDR	Sweat gland	-0.41129241099397	0.0879731478300827	-4.67520398142816	3.44642359512439e-06	2.38377631996104e-05
FOXA1	Sweat gland	-0.299082588153462	0.068465538561528	-4.36836683734965	1.41667660652273e-05	9.40673266731093e-05
SOX9	Sweat gland	-0.276505336309814	0.0635732314977396	-4.34939879247204	1.54180593010703e-05	9.8438378614526e-05
YY1	Sweat gland	-0.334945426683548	0.0808682545625808	-4.14186541425036	3.81178556109032e-05	0.000234354223385553
E2F4	Sweat gland	-0.420057664362638	0.103091158438859	-4.07462357319194	5.06893207216921e-05	0.000300515258564317
REL	Sweat gland	-0.368324911172153	0.0918941424063618	-4.00814351738978	6.69233789956305e-05	0.000370309363775822
MAZ	Sweat gland	-0.286850856539342	0.0714218732018363	-4.01628861971611	6.46973799598075e-05	0.000370309363775822
TP73	Sweat gland	-0.347672254922326	0.0896099044510163	-3.87984182164122	0.000113134092879781	0.00060581481993689
ATF3	Sweat gland	0.285190602472088	0.0736845672587252	3.87042515253854	0.00011751049973548	0.000609585717377801
POU2F2	Sweat gland	0.188503312020922	0.0491392738654705	3.83610292119886	0.000134853842967921	0.00067835569492954
E2F2	Sweat gland	0.188475749750675	0.0493311181618804	3.82062594105793	0.000143440952484041	0.000700329356245611
CLOCK	Sweat gland	-0.237430949797798	0.0642260959295633	-3.6967987289495	0.000233246975583895	0.0011062570841979
NFIC	Sweat gland	-0.2768697174913	0.0751936405843705	-3.68208954028021	0.000246888422170924	0.00113842994667704
FOXO3	Sweat gland	-0.360353149619795	0.0990550186136732	-3.63790905966326	0.000292507601116481	0.00131233139960367
SP4	Sweat gland	-0.366320854731459	0.102728678043658	-3.56590644119627	0.000384163812987769	0.00163515879374281
RUNX3	Sweat gland	-0.222563748209584	0.062330840586033	-3.57068420892524	0.000377332215179015	0.00163515879374281
RBPJ	Sweat gland	-0.331323669499142	0.0935966283471303	-3.53991030820397	0.000423409402611888	0.00175714902083934
NANOG	Sweat gland	0.189219487181972	0.0542969912665758	3.48489820095154	0.000519144058136728	0.00210190033294382
RUNX2	Sweat gland	0.397209576985677	0.115013008752895	3.45360565115796	0.000582262596326369	0.00230132359500422
IRF1	Sweat gland	0.255670956469394	0.0747242153017508	3.42152748525957	0.000654342238945671	0.00252606538755771
TCF7	Sweat gland	0.223089120090293	0.0655208733849818	3.4048557133768	0.000695007303661886	0.00262207300926984
STAT1	Sweat gland	0.227276446052035	0.0680009885453401	3.3422520894751	0.000869654749060658	0.00313831931182759
PAX5	Sweat gland	0.143379718779307	0.042822551035784	3.348229269655	0.00085136822794002	0.00313831931182759
ESR1	Sweat gland	-0.269625228897187	0.0822762224279545	-3.27707350848886	0.0010941744936162	0.00378402012375602
NFYB	Sweat gland	0.37344757164857	0.113902766652726	3.27865233324103	0.00108815344522034	0.00378402012375602
SPI1	Sweat gland	-0.190531648731017	0.0602683625843951	-3.16138751014201	0.0016294501739035	0.00552017814016289
SPIB	Sweat gland	-0.186393206601192	0.0601056121822492	-3.10109488671408	0.00199579237647003	0.00662603068988052
SMAD4	Sweat gland	-0.208384810080582	0.0675653883795317	-3.08419466058616	0.00211129565162188	0.00682511563143986
KLF5	Sweat gland	0.29555671534196	0.095947194444506	3.08041018867836	0.00213798802912574	0.00682511563143986
SP1	Sweat gland	-0.242784075935723	0.0792439301364131	-3.06375612009382	0.00225917494701681	0.00707590643782624
THAP11	Sweat gland	0.229552335032807	0.0764811051310964	3.00142544540029	0.00277082598707829	0.00851772433064806
NFKB1	Sweat gland	-0.183481210482684	0.0652678017699144	-2.81120560991929	0.00505646143896901	0.0149887964083724
TCF3	Sweat gland	0.199445768747373	0.0708319118495453	2.81576147727055	0.00498602043390511	0.0149887964083724
ETV4	Sweat gland	0.207248168421671	0.0750728428074498	2.76062768734136	0.00590126438371099	0.017186138380632
EGR1	Sweat gland	-0.243285447407996	0.0886422152043781	-2.74457770315267	0.00619484384064928	0.0177300703025479
CREB1	Sweat gland	0.21720784491154	0.0803754617776275	2.70241489265072	0.00702984298045718	0.0195717318992097
ESRRA	Sweat gland	0.166092478345929	0.0615087286220018	2.70030745338016	0.00707411996356978	0.0195717318992097
USF1	Sweat gland	0.216592666705425	0.0804322544923094	2.69285833242602	0.00723264245523644	0.0196822729109713
RELA	Sweat gland	-0.194198518580438	0.0723238675896368	-2.68512352909988	0.007400617690786	0.0198145570430722
REST	Sweat gland	0.0347948131660341	0.0130071255783743	2.67505783321445	0.00762445942612475	0.0200898454720112
PAX6	Sweat gland	-0.149538811612034	0.0560643911857285	-2.66726898213604	0.00780182137430083	0.0202359741895928
STAT5A	Sweat gland	0.234553234491206	0.0891854721957516	2.62994889993282	0.00870407895689374	0.0220388213660298
NFKB2	Sweat gland	0.157165443391411	0.0599298169402938	2.6224916313025	0.00889518693689153	0.0220388213660298
MXI1	Sweat gland	-0.320979762605677	0.122174228025878	-2.62722971769209	0.00877333359045223	0.0220388213660298
AR	Sweat gland	-0.243733277890213	0.0944950742079885	-2.57932257245223	0.0100770894014449	0.0245999535388213
PPARA	Sweat gland	-0.201457050371928	0.0784624026134103	-2.56756157932763	0.0104224847985725	0.025074383718305
HIF1A	Sweat gland	-0.233233603504602	0.0915979726618233	-2.54627473432947	0.0110745569587414	0.0262625207878724
STAT4	Sweat gland	-0.216463812598027	0.0880906839658233	-2.45728382222584	0.0142106777955389	0.0332249649867529
ETS1	Sweat gland	-0.196846018502713	0.080738781377321	-2.43806031184422	0.0149832701397217	0.0342738722981846
CEBPD	Sweat gland	0.237241136787877	0.0975923514477815	2.43093985613019	0.0152787141570221	0.0342738722981846
STAT2	Sweat gland	0.125839051335394	0.0516985538584771	2.4340922896968	0.0151472843851086	0.0342738722981846
STAT5B	Sweat gland	0.188129973053679	0.0782787265355983	2.40333461439392	0.016473256838596	0.0364608084694257
FOXP1	Sweat gland	-0.158688418128008	0.0675730626803924	-2.34839759859004	0.019097242711549	0.0417123985541729
SNAI1	Sweat gland	-0.209438529723745	0.0927557869579134	-2.25795647465936	0.0242174386922654	0.0522090236742346
FOXA2	Sweat gland	0.113042774864031	0.0502537929908289	2.24943766701671	0.0247561791189746	0.0526862273557665
TFAP2C	Sweat gland	0.156805794947175	0.0705834934650305	2.22156466405084	0.0265922250200165	0.0555066717674384
MITF	Sweat gland	0.151396351348031	0.0683499997884885	2.21501612021262	0.0270403042883328	0.0555066717674384
NFE2L2	Sweat gland	0.227470038408601	0.102923279648546	2.21009317994282	0.0273814383978441	0.0555066717674384
ZBTB33	Sweat gland	-0.183635119622874	0.0831095502619578	-2.20955496743833	0.0274189583429515	0.0555066717674384
FOXO1	Sweat gland	0.17754940059492	0.0818368247048354	2.16955388036248	0.03033477750586	0.0606695550117199
TEAD1	Sweat gland	0.076488676677734	0.0354618435620879	2.15692894092815	0.0313088134375219	0.0618721789360553
MAX	Sweat gland	0.270710782354375	0.131637044066897	2.0564939320333	0.040059177400312	0.0782332170406093
MYCN	Sweat gland	0.165709250741775	0.0814635868556893	2.03415117278502	0.0422661844944952	0.0815835654196071
RUNX1	Sweat gland	0.118506474335255	0.0596566621925363	1.98647510571051	0.0473218158963451	0.0902922004458998
RARA	Sweat gland	-0.141372933002318	0.071539354039	-1.97615612974711	0.0484806830014245	0.0914521974799598
RFX1	Sweat gland	0.171094898120439	0.0887058912097165	1.92878844671026	0.0541110593245954	0.10092624548183
HNF4A	Sweat gland	-0.123201874817347	0.0646003328340104	-1.90713993895221	0.0568608242031817	0.104876631308091
USF2	Sweat gland	-0.145450958060647	0.0780908334709393	-1.86258683120311	0.0628872383678685	0.113470451837676
MYB	Sweat gland	-0.111389534345454	0.0597007632569864	-1.86579749183388	0.0624359436996864	0.113470451837676
NR2C2	Sweat gland	0.128725481484874	0.0700289090440115	1.83817630807262	0.0664074940789443	0.118533806635535
SREBF2	Sweat gland	0.112237097686199	0.0622172805239143	1.8039537688096	0.0716150703400583	0.126469166770741
TFAP2A	Sweat gland	-0.149761263150636	0.0837791093147036	-1.78757287318584	0.0742238550269009	0.129696420362795
