tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	T/NK	-3.15279656888573	0.0971949550026719	-32.4378623231942	2.88055806022107e-197	4.78172637996697e-195
FOS	T/NK	-0.542220429541628	0.0397694283258682	-13.6341016797804	4.48429883243356e-41	3.72196803091985e-39
NR5A1	T/NK	0.139551238728095	0.0113095815429878	12.3392044345461	3.92593781024934e-34	2.17235225500463e-32
SP1	T/NK	-0.509785292760127	0.0446553305588471	-11.4160008756027	1.46938902896789e-29	6.09796447021676e-28
POU2F1	T/NK	-0.506780681304829	0.0456182814209285	-11.1091576780078	4.13397408530937e-28	1.37247939632271e-26
ELK1	T/NK	-0.720949887102666	0.0715759226738587	-10.0725196430611	1.76634867950404e-23	4.8868980132945e-22
NFYA	T/NK	0.495258027608351	0.0503391078600163	9.8384347411474	1.71974067743586e-22	4.07824217791932e-21
STAT2	T/NK	0.392547338218532	0.0420175997639408	9.34245031662694	1.81622809273742e-20	3.76867329243014e-19
ESRRA	T/NK	0.180852591107797	0.0195043167196592	9.27243920959859	3.44410266158649e-20	6.35245602025953e-19
ATF2	T/NK	-0.468979741555083	0.0563472591428856	-8.32302668645945	1.30251102012877e-16	2.16216829341375e-15
FOSL1	T/NK	0.373898801663341	0.0450818250353354	8.29378139350562	1.65695371213259e-16	2.50049378376373e-15
MYCN	T/NK	0.3382245948742	0.0409459693532735	8.26026591179382	2.1811353541358e-16	3.01723723988786e-15
TWIST1	T/NK	-0.338384343776182	0.0416476455660347	-8.12493333481851	6.54844299689534e-16	8.36185798065097e-15
RXRA	T/NK	-0.250881361016554	0.0312617412963866	-8.02518831686297	1.45665247098496e-15	1.72717364416788e-14
FOXA1	T/NK	-0.242947843592671	0.0304094615300497	-7.98921886047199	1.93906002966713e-15	2.14589309949829e-14
MEF2A	T/NK	-0.340831715833456	0.0432703606080247	-7.87679397731312	4.70496517706848e-15	4.88140137120855e-14
TP63	T/NK	-0.357919602475411	0.0470068664531983	-7.61419829657798	3.56438039166229e-14	3.48051261774083e-13
ZEB1	T/NK	0.239301549664716	0.0315229743848564	7.59133788401883	4.23869427329378e-14	3.90901805203759e-13
VDR	T/NK	-0.347392217325958	0.0476346688041295	-7.29284418360106	3.89446840932688e-13	3.40253555762243e-12
RELA	T/NK	-0.322826409430352	0.0444905167184659	-7.25607237769755	5.08887959570233e-13	4.22377006443293e-12
ERG	T/NK	-0.22726907566865	0.0313512157457818	-7.24913118239213	5.35168316267536e-13	4.23037811906719e-12
STAT3	T/NK	-0.3767673214876	0.0528412183302857	-7.13017854986999	1.25957886323645e-12	8.71208713738547e-12
MYC	T/NK	0.401178205667355	0.0562303453582257	7.13454991449148	1.22085974585476e-12	8.71208713738547e-12
CEBPD	T/NK	0.521638069026688	0.0731129412788426	7.13468860508884	1.21965062284279e-12	8.71208713738547e-12
RFX5	T/NK	0.610251950413704	0.0860852097305799	7.08892912410394	1.68965086043831e-12	1.12192817133104e-11
SRF	T/NK	0.311363493646695	0.0440422248779622	7.06965859489297	1.93713038004955e-12	1.23678324264702e-11
RUNX2	T/NK	0.40118589793366	0.0583474876630787	6.87580415201877	7.51545287734099e-12	4.62061176903187e-11
ARNT	T/NK	0.371456709443386	0.0570018628478686	6.51657140460061	8.44833613144927e-11	4.79334050433329e-10
STAT6	T/NK	0.358056681580405	0.0549670802791805	6.51402038750862	8.59104331614303e-11	4.79334050433329e-10
RUNX1	T/NK	0.254367837392558	0.0390568676811389	6.51275569431789	8.66266356204811e-11	4.79334050433329e-10
KLF4	T/NK	-0.213947248433275	0.0330725530092023	-6.46902730411362	1.15323439652933e-10	6.17538418786672e-10
CREM	T/NK	0.426038545184434	0.0660642286677603	6.44885369549986	1.31517717886959e-10	6.822481615386e-10
SPI1	T/NK	0.270464089699341	0.0429850978455446	6.29204313251029	3.60512554968567e-10	1.81348739772067e-09
MITF	T/NK	0.198127190762266	0.0318321800537847	6.2241163007844	5.54009238283356e-10	2.66052367640086e-09
KLF6	T/NK	0.170048134602206	0.0273295405297377	6.22213660771846	5.60953787192953e-10	2.66052367640086e-09
E2F1	T/NK	-0.244574688472046	0.0400572251189205	-6.10563232340635	1.16010124489562e-09	5.34935574035201e-09
SMAD4	T/NK	-0.217714457711112	0.0366795270190734	-5.93558519982823	3.27461115875772e-09	1.44923811292247e-08
E2F2	T/NK	0.154436524058681	0.0260282362159238	5.93342256376935	3.31753302958156e-09	1.44923811292247e-08
SOX9	T/NK	-0.117937233188688	0.0201152423373701	-5.86307791925451	5.05513837719824e-09	2.15167428362797e-08
JUND	T/NK	-0.354860690289055	0.0608028227280798	-5.83625355480699	5.92860800734538e-09	2.46037232304833e-08
ATF3	T/NK	-0.308440420143458	0.0535125736197181	-5.76388686396135	9.08297467614071e-09	3.67749706399843e-08
JUNB	T/NK	-0.250230445398578	0.0435432678962632	-5.74670798697799	1.00437503370322e-08	3.96967275225559e-08
FOXO1	T/NK	0.253722401545846	0.0441880989514037	5.74187185162411	1.0331594951459e-08	3.98847619056324e-08
FOXP1	T/NK	-0.203296356395744	0.0356846387051019	-5.69702717395535	1.34123116093701e-08	5.06009937989872e-08
AHR	T/NK	-0.223664679156891	0.0397732173393555	-5.62349978500671	2.04904866936099e-08	7.55871286919832e-08
E2F6	T/NK	-0.176061409627995	0.0315158506198838	-5.58644003461913	2.53209770263276e-08	9.1375699703704e-08
FOXO3	T/NK	-0.2875930942718	0.0516346282764109	-5.56977175728378	2.78383709237767e-08	9.8322756879722e-08
TCF4	T/NK	-0.316239174686072	0.0569407561489993	-5.55382815532965	3.04727260398847e-08	1.05384844221268e-07
THAP11	T/NK	0.252497862182059	0.0456111717326441	5.53587756223647	3.3728536407388e-08	1.14264021298498e-07
ZNF263	T/NK	0.153117083010486	0.0278636607959965	5.49522491432592	4.23986975518869e-08	1.40763675872264e-07
FOXA2	T/NK	0.110003363475133	0.0203420524301498	5.40768262459554	6.90259252195647e-08	2.24672619342113e-07
STAT5A	T/NK	0.247459958177688	0.0463537910491216	5.33850527814332	1.00937661024701e-07	3.22224071732699e-07
RARA	T/NK	0.173645918610275	0.0325938780224919	5.32756238734307	1.07147291302686e-07	3.35593402948036e-07
TP53	T/NK	0.212239304999817	0.0404336307134504	5.24907858272582	1.63872089266938e-07	5.03754941079848e-07
GATA4	T/NK	-0.124378943295382	0.023967156285023	-5.18955781888507	2.25302138638934e-07	6.80002818437509e-07
CDX2	T/NK	-0.116864477596827	0.0231309037887095	-5.0523091818777	4.63508283314238e-07	1.37397098268149e-06
NFKB1	T/NK	0.19262183273996	0.0387615304645494	4.96940730748824	7.10498093932828e-07	2.05333540357707e-06
HIF1A	T/NK	0.248016046425784	0.0499276584001313	4.96750807815036	7.17430442213675e-07	2.05333540357707e-06
ATF6	T/NK	-0.346673863812065	0.0701541455457245	-4.94160196970987	8.18751685106969e-07	2.30360643606368e-06
EGR1	T/NK	-0.216729338765837	0.0443242563599312	-4.88963282329895	1.06516575052575e-06	2.94695857645456e-06
PPARG	T/NK	-0.210340294994601	0.0435488904861059	-4.8299805723342	1.43619683965706e-06	3.90833894070609e-06
SP4	T/NK	-0.226472325223835	0.0470619564138575	-4.81221654349138	1.56886455249264e-06	4.20050831796416e-06
E2F3	T/NK	-0.135649452260332	0.0284138823208991	-4.77405553835769	1.89487065006894e-06	4.99283377637212e-06
LEF1	T/NK	0.104875959214329	0.0223480533434521	4.69284539474471	2.81896391268276e-06	7.31168764852092e-06
NR1H2	T/NK	0.219960786962776	0.0475632198017774	4.62459833206155	3.91722622723775e-06	1.00039931341764e-05
TCF7L2	T/NK	-0.18661601524955	0.0411091092801507	-4.53952952319638	5.86709923788231e-06	1.4756643537704e-05
CREB1	T/NK	-0.201857262865959	0.045427376319907	-4.44351576556935	9.18101644703513e-06	2.27469959732512e-05
NFYB	T/NK	0.267750459979583	0.0616259218165294	4.34477005920853	1.44200361322976e-05	3.52018529111971e-05
REL	T/NK	-0.241951614515899	0.0563562299048143	-4.29325408964645	1.81836284282152e-05	4.37461205664307e-05
MEF2C	T/NK	0.210986951026751	0.0492635546259163	4.28282028426256	1.90522786631495e-05	4.51811179726116e-05
TFAP2A	T/NK	-0.166642533195201	0.0391039165820634	-4.26153050028851	2.09489373357641e-05	4.89792056019273e-05
YBX1	T/NK	0.249766643714373	0.0588797330291945	4.24197989468686	2.28479589370755e-05	5.26772386604797e-05
MAF	T/NK	0.178833228009024	0.0435313515414728	4.1081478446321	4.09861378644118e-05	9.32013545957858e-05
IRF1	T/NK	0.224663432012844	0.0552036151045611	4.06972318003647	4.83231044473549e-05	0.000108400477544066
SMAD3	T/NK	0.143187876478761	0.0358876060908128	3.98989768546912	6.77343518604845e-05	0.000148298944394247
MXI1	T/NK	-0.176763116498541	0.0443089789547044	-3.98932949186756	6.78959022527877e-05	0.000148298944394247
NR1H3	T/NK	-0.21167471883467	0.053534045469506	-3.95402060461213	7.86823812684536e-05	0.000168333867021904
FOXL2	T/NK	-0.150224934339337	0.0380050934197081	-3.95275792853164	7.90966363114969e-05	0.000168333867021904
ETS2	T/NK	0.11445128300929	0.0297410796819967	3.84825582100744	0.000121521579769598	0.000255349142300674
PRDM14	T/NK	-0.108193915482578	0.0283038073752407	-3.82259227701017	0.000134826216673381	0.000279764399597266
SREBF2	T/NK	0.121001501280042	0.0330915677779658	3.65656598961779	0.000260148720804672	0.000533144292019452
USF2	T/NK	-0.165001303287452	0.0454778644109703	-3.62816736063909	0.000290354358638554	0.000587790530902438
KMT2A	T/NK	-0.0757424855993716	0.0213568770792386	-3.54651503205973	0.00039653102812081	0.00079306205624162
ATF4	T/NK	-0.172361043086848	0.0491487601954588	-3.50692555420296	0.000460183596162983	0.000906519745078395
YY1	T/NK	-0.146199007217382	0.0417161622566129	-3.50461306383011	0.000464181797178696	0.000906519745078395
ESR1	T/NK	-0.128404203735171	0.0367076725149698	-3.49802084789785	0.0004757581621908	0.000918323894461312
SPIB	T/NK	-0.153632146427889	0.0453161514057243	-3.39022934786298	0.000707662774754489	0.00135025311045109
TCF3	T/NK	0.13082613984473	0.0390023017553964	3.35431843651711	0.000805813184751735	0.00152005668941805
TP73	T/NK	-0.119633010607339	0.0357807683278159	-3.34350032708314	0.000837771069817696	0.00156258424258132
ESR2	T/NK	0.173194237301005	0.0525636405233785	3.29494372110649	0.000996229448745343	0.0018374898721303
SMAD1	T/NK	0.231529703289168	0.0720420050461344	3.21381537258576	0.00132417135606171	0.0024155213747939
NFE2L2	T/NK	0.191147135366758	0.0611911764582303	3.12376957643945	0.00180309278367597	0.00325340654445881
TBP	T/NK	0.211003358236519	0.0701160604731824	3.00934417610673	0.00264061202749619	0.00471335050069212
MAZ	T/NK	-0.0957282993217062	0.0321706087263423	-2.97564463688002	0.00294783429181688	0.00520574991959151
FOXM1	T/NK	0.10875144720714	0.0382882126604874	2.84033752558445	0.00453793984691754	0.00792945278514012
NFKB2	T/NK	0.113447986704787	0.0400627750555402	2.83175557727867	0.0046611822966968	0.00805996105470488
POU2F2	T/NK	0.116223782422055	0.0413235960548237	2.81252827725499	0.00494837458034303	0.00846835237460766
RUNX3	T/NK	-0.164954827690793	0.0591134240747428	-2.79048000133142	0.00529734208575757	0.00897304883914038
GLI1	T/NK	-0.0815517554536451	0.0298518813013944	-2.73187993179632	0.0063354777450078	0.0106231242997101
TCF7	T/NK	0.084935683460338	0.0332196451515815	2.556790810762	0.0106146659815348	0.0176203455293478
EPAS1	T/NK	0.095618580321271	0.0376216088280449	2.54158669179486	0.0110865938015169	0.0182215304064535
IRF2	T/NK	-0.122728208759003	0.0489363504022262	-2.50791503146954	0.0121986866200866	0.0198527644993567
GATA2	T/NK	0.0847612468178987	0.0356617214251738	2.37681310465471	0.0175273361167853	0.0282479397610327
GLI2	T/NK	0.067508599983238	0.0288963210174711	2.3362351194265	0.0195466381059381	0.0311994415921704
FLI1	T/NK	0.110045859427392	0.047218071674273	2.33058775009975	0.0198432072639969	0.0313711657697475
STAT1	T/NK	0.0899219080330403	0.0387462265690868	2.32079136461725	0.0203669899846807	0.0318954748816697
ETS1	T/NK	0.116567283390221	0.0505765677515576	2.3047685632371	0.0212497032438127	0.0329668293315225
IRF9	T/NK	-0.0757616939555534	0.0343017577217546	-2.20868255703131	0.0272745010869858	0.0419219183374041
REST	T/NK	0.0160372341200212	0.0072841712861581	2.20165527278255	0.0277679884341782	0.0422888631199412
HNF4G	T/NK	-0.0216302965835022	0.00994281527097743	-2.17547002473635	0.0296752561669139	0.0447826593064337
SNAI1	T/NK	-0.0683613163244563	0.0327224204999814	-2.08912773810529	0.0367830124185251	0.0550088293826592
WT1	T/NK	-0.0792464054492432	0.0395540265969401	-2.00349780457936	0.0452165660596856	0.0670174104098911
FOSL2	T/NK	0.0873359271776124	0.0439170419462342	1.98865687002631	0.0468327312746136	0.0687985255892554
JUN	T/NK	-0.0823709082919396	0.0426868682346335	-1.92965452136657	0.0537468928106717	0.0782630193558904
E2F4	T/NK	0.107471001905174	0.0565890648529517	1.89914786866403	0.0576439784396757	0.0832078297477059
BMAL1	T/NK	-0.0530602853291292	0.0282411767409782	-1.87882699845642	0.0603681363073213	0.0863888847156494
IRF8	T/NK	-0.0299047760246498	0.0176410401192279	-1.69518213339672	0.0901480049741526	0.127902297655635
USF1	T/NK	0.0734097549528029	0.0442598877862008	1.65860689271088	0.0973029497766826	0.136007950603156
STAT5B	T/NK	0.0744746794482007	0.0449283516812262	1.65763213341567	0.0974996754323826	0.136007950603156
CTCF	T/NK	-0.0543673988557788	0.0340038061662803	-1.59886215648682	0.109959945655464	0.150854140320719
CLOCK	T/NK	-0.0411596057942501	0.0257368322367976	-1.59924910010493	0.109873972547058	0.150854140320719
PAX6	T/NK	0.0495600039719561	0.0315822423857566	1.56923638817703	0.116701739741747	0.156229748363952
NR3C1	T/NK	-0.0560140396160878	0.035562920288509	-1.57506861533492	0.115349459712394	0.156229748363952
NRF1	T/NK	0.0916981984814087	0.058415912018324	1.56974692875881	0.11658286875073	0.156229748363952
NFATC2	T/NK	-0.0660503086605477	0.0428735958041205	-1.54058243591968	0.123527321906047	0.164044283491231
RFX1	T/NK	0.0643098108760003	0.042445918169831	1.51510000605216	0.129855836521477	0.171079911607661
AR	T/NK	0.0672406468980927	0.0449234044413183	1.49678430952237	0.1345579874913	0.175878944279967
NANOG	T/NK	-0.0339478679297345	0.0232245158558388	-1.46172553780921	0.143924558854952	0.186652162265016
KLF5	T/NK	0.0407378266974618	0.028089889357742	1.4502665417667	0.147092124733425	0.189281338804252
TFDP1	T/NK	0.0551698261901243	0.0388919152878012	1.41854228010799	0.156139736595652	0.199378432883679
NFIC	T/NK	-0.0515973781146649	0.0378917320327367	-1.36170545252688	0.173396414463064	0.21972370076999
TAL1	T/NK	0.0471293730505881	0.0351415450855995	1.34112979198234	0.179983124251733	0.226342413831725
BCL6	T/NK	0.0668130575501106	0.0513841054531095	1.30026701761074	0.193612580970727	0.241651792790531
PAX8	T/NK	-0.0365276273105977	0.0289348023842806	-1.26241150105252	0.206902050348855	0.256311495208283
