tf	cell_type	estimate	std_error	t_value	pval	padj
HSF1	VEC	-2.00236340929073	0.0637229767167135	-31.4229421232536	1.41200159295281e-190	2.34392264430166e-188
RFX5	VEC	-1.79511359215961	0.0941180639310057	-19.0729974372989	3.83293353356762e-77	3.18133483286112e-75
SP1	VEC	-0.515958043858754	0.0377964073643614	-13.6509811338645	2.38468389325489e-41	1.31952508760104e-39
ATF3	VEC	-0.614804240316565	0.049611488821356	-12.3923763411009	1.57365930535329e-34	6.53068611721613e-33
ERG	VEC	0.542320951681589	0.0474216458367807	11.4361478205162	9.54468117613133e-30	3.1688341504756e-28
FOXO3	VEC	-0.467733037626063	0.0485893574299389	-9.62624455983983	1.16497542692093e-21	3.22309868114792e-20
ETS1	VEC	0.390885941439809	0.0406771542954873	9.60947116900883	1.36537179839692e-21	3.23788169334126e-20
REL	VEC	-0.53735372683979	0.0560633136371264	-9.58476572251595	1.72417287351793e-21	3.5776587125497e-20
CEBPA	VEC	0.330980512901625	0.0355770846299531	9.30319379297777	2.36782783154522e-20	4.36732688929452e-19
SP3	VEC	0.309145418046949	0.0342046666467887	9.03810644434311	2.61030234245577e-19	4.33310188847658e-18
ZNF263	VEC	0.268969553719172	0.0304146982619405	8.84340694103638	1.4601541396971e-18	2.20350533808835e-17
AR	VEC	-0.357374185522088	0.0406642782029424	-8.78840597485951	2.35978874935009e-18	3.26437443660096e-17
SRF	VEC	0.442850875171053	0.050515350994483	8.76665937091912	2.85080015057026e-18	3.64025249995895e-17
YY1	VEC	-0.323674019354601	0.0379643246105668	-8.52574153958506	2.24774012725881e-17	2.66517757946402e-16
ARNT	VEC	0.375638821651853	0.0452012319306665	8.31036689946947	1.36051108568786e-16	1.50563226816123e-15
ATF2	VEC	-0.393342592761007	0.0476485999561579	-8.25507135829649	2.14510963029485e-16	2.22555124143091e-15
SOX10	VEC	-0.184020856381102	0.0225240412313959	-8.16997511639247	4.29894260092663e-16	4.19779101031659e-15
NRF1	VEC	0.404540960107478	0.0503244918926928	8.03864966923229	1.24038035645577e-15	1.14390632873143e-14
PPARG	VEC	-0.324888717296542	0.0410236739379287	-7.919542208436	3.1982123141776e-15	2.7942276008078e-14
GATA4	VEC	-0.204548081769702	0.0262848947870793	-7.78196311709227	9.3952699885172e-15	7.79807409046928e-14
AHR	VEC	-0.293657365487265	0.0387563538350362	-7.57701219101255	4.52756656222085e-14	3.57893356823172e-13
FOS	VEC	-0.269688718038929	0.0372365774963901	-7.24257534315752	5.41593909014148e-13	4.0865722225613e-12
RELA	VEC	-0.279019305116472	0.0387021168744659	-7.20940681414142	6.88791353513003e-13	4.97127672535472e-12
TP73	VEC	-0.216145514465983	0.0303455734859883	-7.12280209717524	1.28411825008256e-12	8.8818178964044e-12
ATF4	VEC	-0.281582330128233	0.0396799220597911	-7.0963428230513	1.55111249759039e-12	1.02993869840002e-11
EPAS1	VEC	0.27752061249209	0.0401229391046633	6.91675681505184	5.49431098573178e-12	3.50790624473645e-11
MYC	VEC	-0.308586181484383	0.0457784304853974	-6.7408641627156	1.84130252023573e-11	1.13206006799678e-10
JUNB	VEC	-0.27402501624313	0.0410821792234242	-6.67016748923794	2.96935632257481e-11	1.69970051568076e-10
MITF	VEC	0.21741503545404	0.0325704037818848	6.67523304009401	2.869854263768e-11	1.69970051568076e-10
STAT5A	VEC	0.266925868819638	0.0405349238633475	6.58508375936529	5.24474328215327e-11	2.90209128279147e-10
REST	VEC	0.0487690393587801	0.00744063567584404	6.55441839695342	6.42751079614795e-11	3.44182836180826e-10
FOXA1	VEC	-0.21697565175702	0.0331653973968567	-6.54222981744172	6.96690666731217e-11	3.61408283366819e-10
